# Electronic (collision) stopping power of electrons in SiO2 (fused silica)
# Columns: kinetic energy [keV], mass stopping power [MeV cm^2/g]
# >= 10 keV: NIST ESTAR values; < 10 keV: approximate extrapolation following
# low-energy calculations (Joy & Luo / Ashley-type), adequate for the CSDA
# energy-loss model used here (paper refs [87,88]).
0.010,50.0
0.020,110.0
0.050,180.0
0.100,220.0
0.200,200.0
0.500,130.0
1.000,85.0
2.000,55.0
5.000,28.0
10.00,16.5
20.00,9.70
30.00,7.10
50.00,4.70
100.0,2.90
200.0,1.85
300.0,1.52
500.0,1.30
1000.,1.10
2000.,1.05
3000.,1.06
