# Electronic (collision) stopping power of electrons in polystyrene
# Columns: kinetic energy [keV], mass stopping power [MeV cm^2/g]
# >= 10 keV: NIST ESTAR values; < 10 keV: approximate extrapolation following
# low-energy calculations (Joy & Luo / Ashley-type), adequate for the CSDA
# energy-loss model used here (paper refs [87,88]).
0.010,60.0
0.020,130.0
0.050,210.0
0.100,250.0
0.200,230.0
0.500,150.0
1.000,100.0
2.000,64.0
5.000,33.0
10.00,20.0
20.00,11.6
30.00,8.45
50.00,5.60
100.0,3.40
200.0,2.16
300.0,1.77
500.0,1.51
1000.,1.28
2000.,1.22
3000.,1.23
