# isotopes: Ar37,Ar37,Ar37,Ar37,Ar37,Ar37,Ar37,Ar37,Se72,Se72,Se72,Se72,Se72,Se72,Se72,Se72,Ge68,Ge68,Ge68,Ge68,Ge68,Ge68,Ge68,Ge68,P32,P32,P32,P32,P32,P32,P32,P32,Y90,Y90,Y90,Y90,Y90,Y90,Y90,Y90,S35,S35,S35,S35,S35,S35,S35,S35
idx,m4_keV,n_events_expected,ue4sq_asimov,ue4sq_toys_median,median_err68,toys_p16,toys_p84
0.000000000000000000e+00,6.316639999999999588e+01,3.348535748698614771e+04,8.440992436733149584e-02,8.646469806049707219e-02,3.693222906648349624e-03,4.972104994723569593e-02,1.321600736952251165e-01
1.000000000000000000e+00,9.061238395635180609e+01,3.348535748698614771e+04,4.090047387499586018e-02,4.040854413902936204e-02,1.242317355807542878e-03,2.327102264901424050e-02,6.686731918360898363e-02
2.000000000000000000e+00,1.299837275237044310e+02,3.348535748698614771e+04,1.951013804385283434e-02,1.914337147251739257e-02,8.982361267389112058e-04,1.128246676406753635e-02,3.102148666464820889e-02
3.000000000000000000e+00,1.864620340316327258e+02,3.348535748698614771e+04,8.176952861800645955e-03,8.472213568575793358e-03,2.909800457117361905e-04,4.751727121371915850e-03,1.283895657984489638e-02
4.000000000000000000e+00,2.674803284809112824e+02,3.348535748698614771e+04,1.875504325041812753e-03,1.711683243286064339e-03,8.527501352744793275e-05,1.028963208570762801e-03,3.059143139629035609e-03
5.000000000000000000e+00,3.837013067878405082e+02,3.348535748698614771e+04,1.225235381745029876e-04,1.079246990753782794e-04,2.926770679921198858e-06,8.206565647959616927e-05,1.879963304593160330e-04
6.000000000000000000e+00,5.504206371617467539e+02,3.348535748698614771e+04,5.482982429091440128e-05,5.482942746925104972e-05,2.710505431213761085e-19,5.482942746924674679e-05,5.483105562250238988e-05
7.000000000000000000e+00,7.895799999999999272e+02,3.348535748698614771e+04,1.662138685445088996e-04,1.662138685445280900e-04,5.827586677109586333e-19,1.662138685445160554e-04,1.662138685445390133e-04
8.000000000000000000e+00,2.445176000000000016e+01,8.563074836381636851e+04,1.454506572966838551e-01,1.369696833294731242e-01,4.418891181679471258e-03,8.426173284575481925e-02,2.393545350839672292e-01
9.000000000000000000e+00,3.507612061995878605e+01,8.563074836381636851e+04,7.113458546837272967e-02,7.263234316434033500e-02,3.443067989396475514e-03,4.243300182132807297e-02,1.059256684584776315e-01
1.000000000000000000e+01,5.031679673552736887e+01,8.563074836381636851e+04,3.399066480671393553e-02,3.222048175982052121e-02,9.638584022647160576e-04,1.893674227582103908e-02,5.377360680803876247e-02
1.100000000000000000e+01,7.217959081494774409e+01,8.563074836381636851e+04,1.652938200358818055e-02,1.603391252583880044e-02,5.835184491611951005e-04,8.830296343459628425e-03,2.704676596607535899e-02
1.200000000000000000e+01,1.035418323149080777e+02,8.563074836381636851e+04,7.369563440775158542e-03,7.574622201973892077e-03,3.103737762285715095e-04,4.397886613660406500e-03,1.174284275823289994e-02
1.300000000000000000e+01,1.485310586840891744e+02,8.563074836381636851e+04,2.318798038119795468e-03,2.384420323555565963e-03,6.745789591730707267e-05,1.286851566939564836e-03,3.784274093486326550e-03
1.400000000000000000e+01,2.130682343607694236e+02,8.563074836381636851e+04,1.803109658030054008e-04,1.694759127919385914e-04,5.498431696626763241e-06,1.086927924138719010e-04,2.931306467392610026e-04
1.500000000000000000e+01,3.056469999999999914e+02,8.563074836381636851e+04,6.499095823251945490e-05,6.499069579396709272e-05,8.876905287225067553e-19,6.499069579395473281e-05,6.499220291450499962e-05
1.600000000000000000e+01,8.303200000000000358e+00,2.360294905777494932e+03,1.033421499744975991e+00,1.029167801916919256e+00,8.710321824351163755e-04,1.006402241605914849e+00,1.051570847581920098e+00
1.700000000000000000e+01,1.191096447583494822e+01,2.360294905777494932e+03,9.954805109187329082e-01,9.917942747620526189e-01,1.564690656802231183e-02,5.760390229968235243e-01,1.040851762784360757e+00
1.800000000000000000e+01,1.708631307744026984e+01,2.360294905777494932e+03,6.047246577537903622e-01,5.961195094386880777e-01,2.370946931927953027e-02,3.668977003717596164e-01,9.137584605593825904e-01
1.900000000000000000e+01,2.451036565280675461e+01,2.360294905777494932e+03,2.993282944273008561e-01,2.958662047238120874e-01,6.500753138808185172e-03,1.651459654333823912e-01,4.788881721163957272e-01
2.000000000000000000e+01,3.516019059884215636e+01,2.360294905777494932e+03,1.465862535190546045e-01,1.421052845804411935e-01,5.869602842414070598e-03,7.801455540373702924e-02,2.294366056277157562e-01
2.100000000000000000e+01,5.043739536400359924e+01,2.360294905777494932e+03,7.175348083501048579e-02,6.914497641266911798e-02,2.995151622899462629e-03,4.287045613990831533e-02,1.163502641197562415e-01
2.200000000000000000e+01,7.235258989718288092e+01,2.360294905777494932e+03,3.166422347563987993e-02,2.944819123258739235e-02,1.097372155525459803e-03,1.804921973522081655e-02,4.946189058257179083e-02
2.300000000000000000e+01,1.037899999999999920e+02,2.360294905777494932e+03,1.103538209986654368e-02,9.973993683960891837e-03,3.107845180090667778e-04,5.942494374910676710e-03,1.728827592076136871e-02
2.400000000000000000e+01,1.327503199999999879e+02,1.146034535860476753e+05,1.058388956049516848e-02,1.037632167015739744e-02,4.711587029246578837e-04,5.905085558758535989e-03,1.751819538761788947e-02
2.500000000000000000e+01,1.904307189608489352e+02,1.146034535860476753e+05,3.740748398042624805e-03,3.775680962731309612e-03,9.799853398559182048e-05,2.317643724206350144e-03,6.678034542055881310e-03
2.600000000000000000e+01,2.731734185194115980e+02,1.146034535860476753e+05,7.486255510896117115e-04,7.723563970733767587e-04,2.334528896807871448e-05,5.609840401523388592e-04,1.131309050775385246e-03
