m4_keV,Ue4sq_95CL
1.000000000000000000e+01,1.004092941319080445e+00
1.401974874371859237e+01,7.397902705624762598e-01
1.803949748743718473e+01,6.037887692907012438e-01
2.205924623115577532e+01,4.482327862089598436e-01
2.607899497487436946e+01,3.118425840145793715e-01
3.009874371859296360e+01,2.556230522221992763e-01
3.411849246231155064e+01,1.843341411145651143e-01
3.813824120603014478e+01,1.514243628347454740e-01
4.215798994974873892e+01,1.259402362395049269e-01
4.617773869346733306e+01,1.048828308971506834e-01
5.019748743718592721e+01,8.730323307172400960e-02
5.421723618090451424e+01,7.555591276755196928e-02
5.823698492462310838e+01,6.554386122433293604e-02
6.225673366834170253e+01,5.818715564975964621e-02
6.627648241206028956e+01,5.068842642599478976e-02
7.029623115577888370e+01,4.488983612110832716e-02
7.431597989949747785e+01,4.027270833860967930e-02
7.833572864321607199e+01,3.596879565916389493e-02
8.235547738693466613e+01,3.243792938952046873e-02
8.637522613065326027e+01,2.957729469542941247e-02
9.039497487437185441e+01,2.671663631453796706e-02
9.441472361809043434e+01,2.455941393765957714e-02
9.843447236180902848e+01,2.214869891538485958e-02
1.024542211055276226e+02,2.040710158092912813e-02
1.064739698492462168e+02,1.873860914950139026e-02
1.104937185929648109e+02,1.722988158453945054e-02
1.145134673366834051e+02,1.582393072053338984e-02
1.185332160804019992e+02,1.466218884095896700e-02
1.225529648241205791e+02,1.359739691522570196e-02
1.265727135678391733e+02,1.249479962728242480e-02
1.305924623115577674e+02,1.163212257089317296e-02
1.346122110552763615e+02,1.070297670476087933e-02
1.386319597989949557e+02,9.899026365269807462e-03
1.426517085427135498e+02,9.165887812156091677e-03
1.466714572864321440e+02,8.471888040493275734e-03
1.506912060301507381e+02,7.792548351290789696e-03
1.547109547738693323e+02,7.200004265038867021e-03
1.587307035175879264e+02,6.620983748288726545e-03
1.627504522613065205e+02,6.096664534183086556e-03
1.667702010050251147e+02,5.595169152816482222e-03
1.707899497487437088e+02,5.130293329930074760e-03
1.748096984924622745e+02,4.691255454661894149e-03
1.788294472361808687e+02,4.288744662462105721e-03
1.828491959798994628e+02,3.887587852125168678e-03
1.868689447236180570e+02,3.557235269113096562e-03
1.908886934673366511e+02,3.204268296378908528e-03
1.949084422110552453e+02,2.902575118262805485e-03
1.989281909547738394e+02,2.627017501246968565e-03
2.029479396984924335e+02,2.349711402930705281e-03
2.069676884422110277e+02,2.113633593133378962e-03
2.109874371859296218e+02,1.896800272777835177e-03
2.150071859296482160e+02,1.697209836953222526e-03
2.190269346733668101e+02,1.510915973610141554e-03
2.230466834170854042e+02,1.340075799554936616e-03
2.270664321608039984e+02,1.203567261974255662e-03
2.310861809045225925e+02,1.059382196233210442e-03
2.351059296482411582e+02,9.440253474614907067e-04
2.391256783919597524e+02,8.371677141503151539e-04
2.431454271356783465e+02,7.430990840365683889e-04
2.471651758793969407e+02,6.584337744844319254e-04
2.511849246231155348e+02,5.844881752519508417e-04
2.552046733668341290e+02,5.150341478697104429e-04
2.592244221105527231e+02,4.607441659955044703e-04
2.632441708542713172e+02,4.093453340038588910e-04
2.672639195979899114e+02,3.624998563003815270e-04
2.712836683417085055e+02,3.224604330794702883e-04
2.753034170854270997e+02,2.880667888568119207e-04
2.793231658291456938e+02,2.589454425274659603e-04
2.833429145728642879e+02,2.325466115652339801e-04
2.873626633165828821e+02,2.086940394266194310e-04
2.913824120603014762e+02,1.894773177459643484e-04
2.954021608040200704e+02,1.708546770637865339e-04
2.994219095477386645e+02,1.557220260423291657e-04
3.034416582914572587e+02,1.415086117434807020e-04
3.074614070351758528e+02,1.299950728979729954e-04
3.114811557788944469e+02,1.195354840999317720e-04
3.155009045226130411e+02,1.106077099183393311e-04
3.195206532663316352e+02,1.022232070623832717e-04
3.235404020100502294e+02,9.544539285729136745e-05
3.275601507537688235e+02,8.952821637899355375e-05
3.315798994974874176e+02,8.415640329157942441e-05
3.355996482412059549e+02,7.952656607710819985e-05
3.396193969849245491e+02,7.566567066222375574e-05
3.436391457286431432e+02,7.223800780288433749e-05
3.476588944723617374e+02,6.937272415083277615e-05
3.516786432160803315e+02,6.688343945867159088e-05
3.556983919597989257e+02,6.474459694936120105e-05
3.597181407035175198e+02,6.300185864660371761e-05
3.637378894472361139e+02,6.153604435118039057e-05
3.677576381909547081e+02,6.037253659094203958e-05
3.717773869346733022e+02,5.939022850423929213e-05
3.757971356783918964e+02,5.861997805346381600e-05
3.798168844221104905e+02,5.804089163430095860e-05
3.838366331658290846e+02,5.761095494839715169e-05
3.878563819095476788e+02,5.736217118790994807e-05
3.918761306532662729e+02,5.718126311265630998e-05
3.958958793969848671e+02,5.705226245008662863e-05
3.999156281407034612e+02,5.702842232954837101e-05
4.039353768844220554e+02,5.707880685752776288e-05
4.079551256281406495e+02,5.723702056340981522e-05
4.119748743718592436e+02,5.729267337481268969e-05
4.159946231155778378e+02,5.751313912014958051e-05
4.200143718592964319e+02,5.764288994897988789e-05
4.240341206030150261e+02,5.787867202846390055e-05
4.280538693467336202e+02,5.803621683558532631e-05
4.320736180904522143e+02,5.826314042011955708e-05
4.360933668341708085e+02,5.847433383290827352e-05
4.401131155778894026e+02,5.867520248684381692e-05
4.441328643216079968e+02,5.893475938330515463e-05
4.481526130653265909e+02,5.914263846828773073e-05
4.521723618090451851e+02,5.941472024788252529e-05
4.561921105527637792e+02,5.962445249861796564e-05
4.602118592964823165e+02,5.989080262881411713e-05
4.642316080402009106e+02,6.010513168260859173e-05
