m4_keV,Ue4sq_95CL
1.000000000000000000e+01,3.767905787908927273e-01
1.425974874371859258e+01,4.006324932438486419e-01
1.851949748743718516e+01,4.462289250381983874e-01
2.277924623115577774e+01,3.973676368152133098e-01
2.703899497487437031e+01,3.876154262576496645e-01
3.129874371859296289e+01,3.599724602987095512e-01
3.555849246231155547e+01,3.467660615704832305e-01
3.981824120603015160e+01,5.186432301242912546e-01
4.407798994974874063e+01,3.604930464120886802e-01
4.833773869346732965e+01,2.842329037948532755e-01
5.259748743718592578e+01,2.818784935949880111e-01
5.685723618090452192e+01,3.060657614213966871e-01
6.111698492462311094e+01,2.398163558001964180e-01
6.537673366834169997e+01,2.557638055344857997e-01
6.963648241206030320e+01,2.041109319542361300e-01
7.389623115577889223e+01,2.006527273222760976e-01
7.815597989949748126e+01,1.795658229605875122e-01
8.241572864321607028e+01,1.729963341766348195e-01
8.667547738693465931e+01,1.497042335186561379e-01
9.093522613065326254e+01,1.431360309200168934e-01
9.519497487437185157e+01,1.422530450096701760e-01
9.945472361809044060e+01,1.279989322814399644e-01
1.037144723618090438e+02,1.152305767703945966e-01
1.079742211055276329e+02,1.155790223256368127e-01
1.122339698492462219e+02,1.026245772555577779e-01
1.164937185929648109e+02,9.790297988509227833e-02
1.207534673366833999e+02,9.446683360999282020e-02
1.250132160804020032e+02,8.816961315500121410e-02
1.292729648241206064e+02,8.189040242755885046e-02
1.335327135678391812e+02,8.121817674634264350e-02
1.377924623115577845e+02,7.751401924914179398e-02
1.420522110552763593e+02,7.307983415207414124e-02
1.463119597989949625e+02,6.923894634222063638e-02
1.505717085427135657e+02,6.736560198453619974e-02
1.548314572864321406e+02,6.394788712560044164e-02
1.590912060301507438e+02,6.185382116866491864e-02
1.633509547738693186e+02,5.991850412497825434e-02
1.676107035175879219e+02,5.673940986603120962e-02
1.718704522613065251e+02,5.513633460538661102e-02
1.761302010050250999e+02,5.280724581269815449e-02
1.803899497487437031e+02,5.227896015036587185e-02
1.846496984924623064e+02,5.000037183862879320e-02
1.889094472361808812e+02,4.832006941933147254e-02
1.931691959798994844e+02,4.740838292463888520e-02
1.974289447236180877e+02,4.645375547242141384e-02
2.016886934673366625e+02,4.475273297200357825e-02
2.059484422110552657e+02,4.404060208001191190e-02
2.102081909547738405e+02,4.287003115583378626e-02
2.144679396984924438e+02,4.172379735429139480e-02
2.187276884422110470e+02,4.027359257928761482e-02
2.229874371859296218e+02,4.003871585222912310e-02
2.272471859296482251e+02,3.910800313235755082e-02
2.315069346733667999e+02,3.798504759434172262e-02
2.357666834170854031e+02,3.726056707291847819e-02
2.400264321608040063e+02,3.715880169372183517e-02
2.442861809045225812e+02,3.618805402206846933e-02
2.485459296482411844e+02,3.571448344203088238e-02
2.528056783919597876e+02,3.486466974437602701e-02
2.570654271356783624e+02,3.406483222245529352e-02
2.613251758793969657e+02,3.370827128699258046e-02
2.655849246231155689e+02,3.347186001526158278e-02
2.698446733668341722e+02,3.253438418634599372e-02
2.741044221105527186e+02,3.218411916626102987e-02
2.783641708542713218e+02,3.215657672637272507e-02
2.826239195979899250e+02,3.152194938563063903e-02
2.868836683417085283e+02,3.142200869060390173e-02
2.911434170854271315e+02,3.085703853460570675e-02
2.954031658291456779e+02,3.088511358155964989e-02
2.996629145728642811e+02,3.043275442923574006e-02
3.039226633165828844e+02,3.041065004176466899e-02
3.081824120603014876e+02,2.984818615731480926e-02
3.124421608040200908e+02,2.946027351762686361e-02
3.167019095477386372e+02,2.994595519661101893e-02
3.209616582914572405e+02,2.960479614269475798e-02
