m4_keV,Ue4sq_95CL
1.000000000000000000e+01,5.818900005804567011e-01
1.021920922982820912e+01,5.789542033220854700e-01
1.044322372830061241e+01,5.613752734490442542e-01
1.067214883134105818e+01,6.496779018943417139e-01
1.090609218393409385e+01,5.907747265590314045e-01
1.114516379074165897e+01,5.302909604038795743e-01
1.138947606782943112e+01,6.366643832781812007e-01
1.163914389552700968e+01,5.934430446289611361e-01
1.189428467244682786e+01,5.556752127039416012e-01
1.215501837068728896e+01,6.052774572767808392e-01
1.242146759224589836e+01,5.378685907968969726e-01
1.269375762666912699e+01,5.476828722757105528e-01
1.297201650996594502e+01,5.561090558587481469e-01
1.325637508481278992e+01,6.083267704488743988e-01
1.354696706207836421e+01,5.550299780920819881e-01
1.384392908369699704e+01,5.398616113422827212e-01
1.414740078692035397e+01,7.330301937557303082e-01
1.445752486997754360e+01,5.810178917560708811e-01
1.477444715917453877e+01,5.687090040018304427e-01
1.509831667746456318e+01,5.600517268846035845e-01
1.542928571452151232e+01,6.167137184073047118e-01
1.576750989834947880e+01,5.449001381659750454e-01
1.611314826846207282e+01,5.111647790218114551e-01
1.646636335066580514e+01,5.515834453175242347e-01
1.682732123348289477e+01,5.175393540016540728e-01
1.719619164624927166e+01,4.801191296662769004e-01
1.757314803892452915e+01,5.536717309511560714e-01
1.795836766365150439e+01,5.665832293892394400e-01
1.835203165810360204e+01,5.005670680753416812e-01
1.875432513065918272e+01,4.453773531041663736e-01
1.916543724744315824e+01,5.457166060908537064e-01
1.958556132127644744e+01,4.218632782515426838e-01
2.001489490257546322e+01,4.852527538644722527e-01
2.045363987224408930e+01,4.304492554440194629e-01
2.090200253660190555e+01,5.231028742951284727e-01
2.136019372439349695e+01,4.091848097280431085e-01
2.182842888592406183e+01,4.363297131481139735e-01
2.230692819436838903e+01,4.318873623810641771e-01
2.279591664930046591e+01,3.847330430027606218e-01
2.329562418249258826e+01,4.430618625945547673e-01
2.380628576603376345e+01,3.628348917597301049e-01
2.432814152281801512e+01,3.752437427464289099e-01
2.486143683945487837e+01,4.014501353340095835e-01
2.540642248165484673e+01,3.737221830377147058e-01
2.596335471214421631e+01,3.660357279767430527e-01
2.653249541116480259e+01,3.838270803940282416e-01
2.711411219961499697e+01,3.435410657953988367e-01
2.770847856489032424e+01,3.059369512055014062e-01
