m4_keV,Ue4sq_95CL
1.000000000000000000e+01,1.031280008808255877e+00
1.084977985081881613e+01,1.028673984244693695e+00
1.177177228112339691e+01,1.022424512091185900e+00
1.277211377041600215e+01,1.012376435927328622e+00
1.385746226386250690e+01,8.600962222451210559e-01
1.503504148539375151e+01,8.125076367973461666e-01
1.631268901644501312e+01,6.467538940274361048e-01
1.769890846032985010e+01,5.706441786910176894e-01
1.920292603943734022e+01,4.819753651555978569e-01
2.083475200194511956e+01,4.135264959928680040e-01
2.260524724675111585e+01,3.591839947098315888e-01
2.452619561005777626e+01,3.019803985728641282e-01
2.661038229472457672e+01,2.568106373200019776e-01
2.887167896438883119e+01,2.164799475603623180e-01
3.132513606871355805e+01,1.882261715163895122e-01
3.398708301424859002e+01,1.588272529076563411e-01
3.687523684761008269e+01,1.346177190580078176e-01
4.000882017433713855e+01,1.143041266422148844e-01
4.340868909825562127e+01,9.748625076716159465e-02
4.709747203287124506e+01,8.306511980427327968e-02
5.109972030867488968e+01,6.974515290157855263e-02
5.544207157875379011e+01,5.922023308610821490e-02
6.015342711028173994e+01,4.952639025777055143e-02
6.526514414188328317e+01,4.078618327051154735e-02
7.081124458713912873e+01,3.340249530805699391e-02
7.682864147329445359e+01,2.644985311199753164e-02
8.335738462227330103e+01,2.035117429244062692e-02
9.044092720916951578e+01,1.493273831937244958e-02
9.812641497234186261e+01,1.106840403691239025e-02
1.064650000000000034e+02,2.022241550314455780e-02
