m4_keV,Ue4sq_95CL
9.253500000000000725e+00,7.081214477915857841e-02
9.285787542455979704e+00,7.026364298758726312e-02
9.318187743408508084e+00,7.020881216794747082e-02
9.350700995948422189e+00,6.988844377987882273e-02
9.383327694538126096e+00,6.945635580412187760e-02
9.416068235016407328e+00,6.927872277299444714e-02
9.448923014603208159e+00,6.867064633589538281e-02
9.481892431904476837e+00,6.840533469110324227e-02
9.514976886916974408e+00,6.820643566195026819e-02
9.548176781033141935e+00,6.800282101888052710e-02
9.581492517045981927e+00,6.764943424820168971e-02
9.614924499153913118e+00,6.715133607420729900e-02
9.648473132965710519e+00,6.698439124514062037e-02
9.682138825505397506e+00,6.669025004989760641e-02
9.715921985217201851e+00,6.639121763687767797e-02
9.749823021970504655e+00,6.600390684057753921e-02
9.783842347064807043e+00,6.585520348884080222e-02
9.817980373234739488e+00,6.554193084889560483e-02
9.852237514655040940e+00,6.523137153610511496e-02
9.886614186945614335e+00,6.497872412098817940e-02
9.921110807176543034e+00,6.454521006388926063e-02
9.955727793873162312e+00,6.446342721150588595e-02
9.990465567021143301e+00,6.422216036600858491e-02
1.002532454807157514e+01,6.374909782010945714e-02
1.006030515994609154e+01,6.358549573247310183e-02
1.009540782704198669e+01,6.339540452514084989e-02
1.013063297523737738e+01,6.287502539899003651e-02
1.016598103189635793e+01,6.278778947309801572e-02
1.020145242587420675e+01,6.266104552844203868e-02
1.023704758752256438e+01,6.211391046016295076e-02
1.027276694869466311e+01,6.210118227440433042e-02
1.030861094275056722e+01,6.167022879353639686e-02
1.034458000456244697e+01,6.140738336950011395e-02
1.038067457051982423e+01,6.121489733855711018e-02
1.041689507853488372e+01,6.094068592860721334e-02
1.045324196804778971e+01,6.073575157447987788e-02
1.048971568003200439e+01,6.044843428189166507e-02
1.052631665699965779e+01,6.026156302638555756e-02
1.056304534300689291e+01,5.993965899863778340e-02
1.059990218365927106e+01,5.980234591153735235e-02
1.063688762611716498e+01,5.964023718518735029e-02
1.067400211910119090e+01,5.927557399467308502e-02
1.071124611289766726e+01,5.896930186638477123e-02
1.074862005936404508e+01,5.871953976802075925e-02
1.078612441193441462e+01,5.858454702859789559e-02
1.082375962562499616e+01,5.838116009523820760e-02
1.086152615703966440e+01,5.820878922375286729e-02
1.089942446437549961e+01,5.806986502571965386e-02
1.093745500742831922e+01,5.774362280788384455e-02
1.097561824759827687e+01,5.754489478050150986e-02
1.101391464789545083e+01,5.728363562364394146e-02
1.105234467294548217e+01,5.724457353940384796e-02
1.109090878899517563e+01,5.696555798434127516e-02
1.112960746391818567e+01,5.681113785993943677e-02
1.116844116722068136e+01,5.645792304238213960e-02
1.120741037004703777e+01,5.634211211513485973e-02
1.124651554518557717e+01,5.614934713334369942e-02
1.128575716707426935e+01,5.592464594332860472e-02
1.132513571180651013e+01,5.579316389203772125e-02
1.136465165713689096e+01,5.558933714898551398e-02
1.140430548248699338e+01,5.537575643367093764e-02
1.144409766895122260e+01,5.515354705157124449e-02
1.148402869930261794e+01,5.500404839170425914e-02
1.152409905799872547e+01,5.494248859058108864e-02
1.156430923118746890e+01,5.456836878717118144e-02
1.160465970671305236e+01,5.448752927554095099e-02
1.164515097412189171e+01,5.434256149645582540e-02
1.168578352466852266e+01,5.414809028943779606e-02
1.172655785132158535e+01,5.396508339916521180e-02
1.176747444876979287e+01,5.398441074998282241e-02
1.180853381342795494e+01,5.368498731441882083e-02
1.184973644344296773e+01,5.347213332448980810e-02
1.189108283869987837e+01,5.334864701914400487e-02
1.193257350082794943e+01,5.312733845554919176e-02
1.197420893320672697e+01,5.301437487855034658e-02
1.201598964097218492e+01,5.279403008215260290e-02
1.205791613102281445e+01,5.282212247236906660e-02
1.209998891202579152e+01,5.258715864217081842e-02
1.214220849442314432e+01,5.245198448900618982e-02
1.218457539043794746e+01,5.226683846652265680e-02
1.222709011408055346e+01,5.202144545646088247e-02
1.226975318115479041e+01,5.205757181432747044e-02
1.231256510926425385e+01,5.192593499439897287e-02
1.235552641781857197e+01,5.173010760744479325e-02
1.239863762803970282e+01,5.159912406590958650e-02
1.244189926296828475e+01,5.148124667106946523e-02
1.248531184746994427e+01,5.144505368912420662e-02
1.252887590824168740e+01,5.125078756249070583e-02
1.257259197381828031e+01,5.111009070489922618e-02
1.261646057457867975e+01,5.090884563366526727e-02
1.266048224275244038e+01,5.085034471205109735e-02
1.270465751242618957e+01,5.082409409798363531e-02
1.274898691955010399e+01,5.078967204881417591e-02
1.279347100194440223e+01,5.069393798667789358e-02
1.283811029930589953e+01,5.038186944083530849e-02
1.288290535321451635e+01,5.043794440384129912e-02
1.292785670713987223e+01,5.035251615940070785e-02
1.297296490644786715e+01,5.037148311251502669e-02
1.301823049840732871e+01,5.020918021414483290e-02
1.306365403219660237e+01,5.018877046411568399e-02
1.310923605891025367e+01,5.025377311802830399e-02
1.315497713156573845e+01,5.015241210134499528e-02
1.320087780511011211e+01,5.000456137119230204e-02
1.324693863642676206e+01,5.012803387748435147e-02
1.329316018434218627e+01,4.994077282995794398e-02
1.333954300963273454e+01,5.000525364260786920e-02
1.338608767503143504e+01,4.993001851374737760e-02
1.343279474523481554e+01,4.982921066573098301e-02
1.347966478690977254e+01,4.980963242924774104e-02
1.352669836870041742e+01,4.996565296614104146e-02
1.357389606123498638e+01,4.992902873991514334e-02
1.362125843713277362e+01,4.995362099300040826e-02
1.366878607101106091e+01,4.987150738986573240e-02
1.371647953949211818e+01,5.005397341344996337e-02
1.376433942121016329e+01,5.010649527023103983e-02
1.381236629681840178e+01,5.017358723805743353e-02
1.386056074899606294e+01,5.024724925591533137e-02
1.390892336245549821e+01,5.039015896113988729e-02
1.395745472394923148e+01,5.042285399350425468e-02
