m4_keV,Ue4sq_95CL
1.000000000000000000e+01,3.086174005909043602e-02
1.850324874371859352e+01,2.917397035223515123e-02
2.700649748743718703e+01,3.026721057446413871e-02
3.550974623115578055e+01,3.084278989073833965e-02
4.401299497487437407e+01,3.102421361217836890e-02
5.251624371859296758e+01,3.177385017316085303e-02
6.101949246231156110e+01,3.241360958921993968e-02
6.952274120603016172e+01,3.234853789218791048e-02
7.802598994974874813e+01,3.098597529968432490e-02
8.652923869346733454e+01,3.125576639222858027e-02
9.503248743718593516e+01,3.137879746463466402e-02
1.035357361809045358e+02,3.013359609272419498e-02
1.120389849246231222e+02,3.073276562340463564e-02
1.205422336683417086e+02,2.969422739096923974e-02
1.290454824120603234e+02,2.919696817336857320e-02
1.375487311557789099e+02,3.000183674333989359e-02
1.460519798994974963e+02,2.814766087000186018e-02
1.545552286432160827e+02,2.799712562029412280e-02
1.630584773869346691e+02,2.680195833546997544e-02
1.715617261306532839e+02,2.655357723959411373e-02
1.800649748743718703e+02,2.527900562631322026e-02
1.885682236180904567e+02,2.440225172452632416e-02
1.970714723618090716e+02,2.391009969343573308e-02
2.055747211055276580e+02,2.320208921013404771e-02
2.140779698492462444e+02,2.258840268477656579e-02
2.225812185929648308e+02,2.168224675394429812e-02
2.310844673366834172e+02,2.129485314561836706e-02
2.395877160804020320e+02,2.064933475741840413e-02
2.480909648241206185e+02,1.988344751778887629e-02
2.565942135678392333e+02,1.935009411676023167e-02
2.650974623115578197e+02,1.881147491620999840e-02
2.736007110552764061e+02,1.843578629750408648e-02
2.821039597989949925e+02,1.787230672700256331e-02
2.906072085427135789e+02,1.739995354188660429e-02
2.991104572864321653e+02,1.697617226154394740e-02
3.076137060301507518e+02,1.660770413030636730e-02
3.161169547738693382e+02,1.619553066175414072e-02
3.246202035175879814e+02,1.581896377883490468e-02
3.331234522613065678e+02,1.560187534434522016e-02
3.416267010050251542e+02,1.523043310482118107e-02
3.501299497487437407e+02,1.488206691629691096e-02
3.586331984924623271e+02,1.459359385510705480e-02
3.671364472361809135e+02,1.432786254004753644e-02
3.756396959798994999e+02,1.406336326672798578e-02
3.841429447236181431e+02,1.382693716260989525e-02
3.926461934673367296e+02,1.362258117758126559e-02
4.011494422110553160e+02,1.340914324880181606e-02
4.096526909547739024e+02,1.318243041378934846e-02
4.181559396984924888e+02,1.296255383603478646e-02
4.266591884422110752e+02,1.279564039591997091e-02
4.351624371859296616e+02,1.260197688436509068e-02
4.436656859296482480e+02,1.246200982315126202e-02
4.521689346733668344e+02,1.224457845674206333e-02
4.606721834170854777e+02,1.212541294043464543e-02
4.691754321608040641e+02,1.198860590651606300e-02
4.776786809045226505e+02,1.184660490217810669e-02
4.861819296482412369e+02,1.172569238196498331e-02
4.946851783919598233e+02,1.159259658391485932e-02
5.031884271356784097e+02,1.147718785416716562e-02
5.116916758793969962e+02,1.134702473886107371e-02
5.201949246231156394e+02,1.123204387324639592e-02
5.286981733668342258e+02,1.112945131476305791e-02
5.372014221105528122e+02,1.103041328019028176e-02
5.457046708542713986e+02,1.095016356120974942e-02
5.542079195979899850e+02,1.086488184429874881e-02
5.627111683417085715e+02,1.077052627366632126e-02
5.712144170854271579e+02,1.070593590424238212e-02
5.797176658291457443e+02,1.063089113992318063e-02
5.882209145728643307e+02,1.056376376559784239e-02
5.967241633165829171e+02,1.048786107616808856e-02
6.052274120603015035e+02,1.043649375463700894e-02
6.137306608040200899e+02,1.036980097696152923e-02
6.222339095477386763e+02,1.033046622499306406e-02
6.307371582914573764e+02,1.026779692592122428e-02
6.392404070351759628e+02,1.021982843146268874e-02
6.477436557788945493e+02,1.017724197730176562e-02
6.562469045226131357e+02,1.013918044317783235e-02
6.647501532663317221e+02,1.010527128141967129e-02
6.732534020100503085e+02,1.006044592139611858e-02
6.817566507537688949e+02,1.002842402609082847e-02
6.902598994974874813e+02,9.997580153270433506e-03
6.987631482412060677e+02,9.970324073966429362e-03
7.072663969849246541e+02,9.947489171035803907e-03
7.157696457286432405e+02,9.928528204205110119e-03
7.242728944723618270e+02,9.912560309272221495e-03
7.327761432160804134e+02,9.893340359887850891e-03
7.412793919597989998e+02,9.876868525019021766e-03
7.497826407035175862e+02,9.865110095929807352e-03
7.582858894472362863e+02,9.858571010736184512e-03
7.667891381909548727e+02,9.844234829844353274e-03
7.752923869346734591e+02,9.857333410275143093e-03
7.837956356783920455e+02,9.845310142906935763e-03
7.922988844221106319e+02,9.852072449223470835e-03
8.008021331658292183e+02,9.860842451403653910e-03
8.093053819095478048e+02,9.861992273628052488e-03
8.178086306532663912e+02,9.875774433307582881e-03
8.263118793969849776e+02,9.884135961484795049e-03
8.348151281407035640e+02,9.897636332765866532e-03
8.433183768844221504e+02,9.913932653478674251e-03
8.518216256281407368e+02,9.928927896268245970e-03
8.603248743718593232e+02,9.942761321095866522e-03
8.688281231155779096e+02,9.977089635452855015e-03
8.773313718592964960e+02,9.999265687600265157e-03
8.858346206030150825e+02,1.002156032403971574e-02
8.943378693467336689e+02,1.005599909713536175e-02
9.028411180904523690e+02,1.008517468492635058e-02
9.113443668341709554e+02,1.012771140554279831e-02
9.198476155778895418e+02,1.016199267301187009e-02
9.283508643216081282e+02,1.020365905673313763e-02
9.368541130653267146e+02,1.025457856553593436e-02
9.453573618090453010e+02,1.029420988603992754e-02
9.538606105527638874e+02,1.034653694884876858e-02
9.623638592964824738e+02,1.040058178625742451e-02
9.708671080402010602e+02,1.045466360585818252e-02
9.793703567839196467e+02,1.051591455445220410e-02
9.878736055276382331e+02,1.057168551956687470e-02
9.963768542713568195e+02,1.064034614704034709e-02
1.004880103015075406e+03,1.070312701398903367e-02
1.013383351758793992e+03,1.077643389134820724e-02
1.021886600502512579e+03,1.086236829876154747e-02
1.030389849246231279e+03,1.092957506169362977e-02
1.038893097989949865e+03,1.100896046889821359e-02
1.047396346733668452e+03,1.109414210141820324e-02
1.055899595477387038e+03,1.117529710499283978e-02
1.064402844221105624e+03,1.126851474272987270e-02
1.072906092964824211e+03,1.136730111157949717e-02
1.081409341708542797e+03,1.145997451022130048e-02
1.089912590452261384e+03,1.156958237048517912e-02
1.098415839195979970e+03,1.168064637448772147e-02
1.106919087939698557e+03,1.179553355059482361e-02
1.115422336683417143e+03,1.191432631105670929e-02
1.123925585427135729e+03,1.201867996282516421e-02
1.132428834170854316e+03,1.215223676358712437e-02
1.140932082914572902e+03,1.228148847340296453e-02
1.149435331658291489e+03,1.241812918030545110e-02
1.157938580402010075e+03,1.255621216742853000e-02
1.166441829145728661e+03,1.270062329861345457e-02
1.174945077889447248e+03,1.284306718877279915e-02
1.183448326633165834e+03,1.300006730649267382e-02
1.191951575376884421e+03,1.317041385868398737e-02
