m4_keV,Ue4sq_95CL
1.000000000000000000e+01,1.380750888316967517e-01
1.078624874371859299e+01,1.340864492506365635e-01
1.157249748743718598e+01,1.267045554461598278e-01
1.235874623115577897e+01,1.256486494259359543e-01
1.314499497487437196e+01,1.217247055382285614e-01
1.393124371859296495e+01,1.159703508412722323e-01
1.471749246231155794e+01,1.098069599414463193e-01
1.550374120603015093e+01,1.024257517834660097e-01
1.628998994974874392e+01,9.905547137995111828e-02
1.707623869346733869e+01,9.549638233523510822e-02
1.786248743718592991e+01,8.904481107358606928e-02
1.864873618090452112e+01,8.179738349180606938e-02
1.943498492462311589e+01,8.020369322762775643e-02
2.022123366834171065e+01,7.594838661719459372e-02
2.100748241206030187e+01,7.157461246287709355e-02
2.179373115577889308e+01,6.778023440469439775e-02
2.257997989949748785e+01,6.444428901233521800e-02
2.336622864321608262e+01,6.063960564383696905e-02
2.415247738693467383e+01,5.766092704450575396e-02
2.493872613065326505e+01,5.343405596468309149e-02
2.572497487437185981e+01,5.148989123828693476e-02
2.651122361809045458e+01,4.940331199666075229e-02
2.729747236180904579e+01,4.660207162854731328e-02
2.808372110552763701e+01,4.466052388098578491e-02
2.886996984924623177e+01,4.280122243058670506e-02
2.965621859296482654e+01,4.084811485094182182e-02
3.044246733668341776e+01,3.868875996417257129e-02
3.122871608040200897e+01,3.754447194395405668e-02
3.201496482412060374e+01,3.608747600210160389e-02
3.280121356783919850e+01,3.399529976513131213e-02
3.358746231155778617e+01,3.222644087968404986e-02
3.437371105527638093e+01,3.110149079367448971e-02
3.515995979899497570e+01,2.957578986858307862e-02
3.594620854271357047e+01,2.840596714226856917e-02
3.673245728643216523e+01,2.741233331591731714e-02
3.751870603015075289e+01,2.608328607745624000e-02
3.830495477386934766e+01,2.512557973878935813e-02
3.909120351758794243e+01,2.426157633784451623e-02
3.987745226130653009e+01,2.338077486136009783e-02
4.066370100502512486e+01,2.245549670168192971e-02
4.144994974874371962e+01,2.147527750309000463e-02
4.223619849246231439e+01,2.048770902014491677e-02
4.302244723618090916e+01,1.994541756539290611e-02
4.380869597989949682e+01,1.898751992083093018e-02
4.459494472361809159e+01,1.833145255545004168e-02
4.538119346733668635e+01,1.747397360740976860e-02
4.616744221105527402e+01,1.684893162559017443e-02
4.695369095477386878e+01,1.624702836187446806e-02
4.773993969849246355e+01,1.545978934012985986e-02
4.852618844221105832e+01,1.477322536221655977e-02
4.931243718592965308e+01,1.423167429386329799e-02
5.009868592964824074e+01,1.367312493493505650e-02
5.088493467336683551e+01,1.320928084205694880e-02
5.167118341708543028e+01,1.260305638887412871e-02
5.245743216080401794e+01,1.226397881716646474e-02
5.324368090452261271e+01,1.176430410905937932e-02
5.402992964824120747e+01,1.113811123071836023e-02
5.481617839195980224e+01,1.080347721999681300e-02
5.560242713567839701e+01,1.031131268053554415e-02
5.638867587939698467e+01,9.838879259118610277e-03
5.717492462311557944e+01,9.518018620804239230e-03
5.796117336683417420e+01,9.045516651646136330e-03
5.874742211055276186e+01,8.715178664048145105e-03
5.953367085427135663e+01,8.343539089697553715e-03
6.031991959798995140e+01,8.085789106313254551e-03
6.110616834170854617e+01,7.669956541016741298e-03
6.189241708542714093e+01,7.338821721013912350e-03
6.267866582914572859e+01,7.118796739660888245e-03
6.346491457286432336e+01,6.759535089593982950e-03
6.425116331658291813e+01,6.448383344781252399e-03
6.503741206030150579e+01,6.140568744259964316e-03
6.582366080402010766e+01,5.916154276941322163e-03
6.660990954773869532e+01,5.656278041000389542e-03
6.739615829145728298e+01,5.415575172634217414e-03
6.818240703517588486e+01,5.173988936308684256e-03
6.896865577889447252e+01,4.947654181912761011e-03
6.975490452261306018e+01,4.739603457937351452e-03
7.054115326633166205e+01,4.472662929584984154e-03
7.132740201005024971e+01,4.278890694161921991e-03
7.211365075376883738e+01,4.089782875225597865e-03
7.289989949748743925e+01,3.889818435230555770e-03
7.368614824120604112e+01,3.733965573814407996e-03
7.447239698492462878e+01,3.560200637360502393e-03
7.525864572864321644e+01,3.390952733324464115e-03
7.604489447236181832e+01,3.220162658324360674e-03
7.683114321608040598e+01,3.059526971341128970e-03
7.761739195979899364e+01,2.931796066009395400e-03
7.840364070351759551e+01,2.792010034849775561e-03
7.918988944723618317e+01,2.629753862050087428e-03
7.997613819095477083e+01,2.526756299533614285e-03
8.076238693467337271e+01,2.404350820911523631e-03
8.154863567839196037e+01,2.300246179748845297e-03
8.233488442211054803e+01,2.178553945661494164e-03
8.312113316582914990e+01,2.085317434646620505e-03
8.390738190954773756e+01,1.976818051414670242e-03
8.469363065326633944e+01,1.892099111508120613e-03
8.547987939698492710e+01,1.818381768920991539e-03
8.626612814070351476e+01,1.742533961349802601e-03
8.705237688442211663e+01,1.652964570523223972e-03
8.783862562814070429e+01,1.589693380602023084e-03
8.862487437185930617e+01,1.529268432018090216e-03
8.941112311557789383e+01,1.469004828573682421e-03
9.019737185929648149e+01,1.407828989825341123e-03
9.098362060301508336e+01,1.354486533230963956e-03
9.176986934673367102e+01,1.295300758623658347e-03
9.255611809045225868e+01,1.251676018455499676e-03
9.334236683417086056e+01,1.202802251340649459e-03
9.412861557788944822e+01,1.159094303326074164e-03
9.491486432160803588e+01,1.111706667273566328e-03
9.570111306532663775e+01,1.072979698652044367e-03
9.648736180904522541e+01,1.034402741758967204e-03
9.727361055276382729e+01,9.946356023964742898e-04
9.805985929648241495e+01,9.592073312492702076e-04
9.884610804020100261e+01,9.308616817356001050e-04
9.963235678391960448e+01,9.012658370724597936e-04
1.004186055276381921e+02,8.678237440659207361e-04
1.012048542713567940e+02,8.431318464925920608e-04
1.019911030150753817e+02,8.195811417456382291e-04
1.027773517587939693e+02,7.936208908233100641e-04
1.035636005025125712e+02,7.698276830851732240e-04
1.043498492462311589e+02,7.477287550422677702e-04
1.051360979899497465e+02,7.287137696011139303e-04
1.059223467336683484e+02,7.078101032058988114e-04
1.067085954773869361e+02,6.881216686099127493e-04
1.074948442211055237e+02,6.726930212420888493e-04
1.082810929648241256e+02,6.582035257154348349e-04
1.090673417085427133e+02,6.415146095201768820e-04
1.098535904522613151e+02,6.264485659350522290e-04
1.106398391959799028e+02,6.144279603852642255e-04
1.114260879396984905e+02,6.018945248245627768e-04
