m4_keV,Ue4sq_95CL
1.000000000000000000e+01,6.278058782293964857e-01
1.152524874371859376e+01,6.507744825179706538e-01
1.305049748743718574e+01,5.314954065759782686e-01
1.457574623115577950e+01,4.754800897311287078e-01
1.610099497487437148e+01,4.381867728406859119e-01
1.762624371859296701e+01,5.218140272611045960e-01
1.915149246231155900e+01,4.844266759201770745e-01
2.067674120603015098e+01,4.928640302235632320e-01
2.220198994974874296e+01,4.007989391889926201e-01
2.372723869346733849e+01,3.713453579437753227e-01
2.525248743718593047e+01,4.171948802731954564e-01
2.677773618090452246e+01,4.056729742147236473e-01
2.830298492462311799e+01,3.375708569923097091e-01
2.982823366834170997e+01,3.224696543645627078e-01
3.135348241206030195e+01,3.239871922832089912e-01
3.287873115577889394e+01,2.731512537728619794e-01
3.440397989949748592e+01,3.012805474642430426e-01
3.592922864321607790e+01,2.557137796889257797e-01
3.745447738693467699e+01,2.322483770817216353e-01
3.897972613065326897e+01,2.056045805906441815e-01
4.050497487437186095e+01,2.107815538280292944e-01
4.203022361809045293e+01,1.975890798510509527e-01
4.355547236180904491e+01,1.734704320583424497e-01
4.508072110552764400e+01,1.573757664537886181e-01
4.660596984924623598e+01,1.578958261608414959e-01
4.813121859296482796e+01,1.498458767475683573e-01
4.965646733668341994e+01,1.444857726976719325e-01
5.118171608040201193e+01,1.436874047533227838e-01
5.270696482412060391e+01,1.294176031462067056e-01
5.423221356783920299e+01,1.239802751673142189e-01
5.575746231155779498e+01,1.179188887516237211e-01
5.728271105527638696e+01,1.116735048640738054e-01
5.880795979899497894e+01,1.050145155156263638e-01
6.033320854271357092e+01,9.910624014150233585e-02
6.185845728643216290e+01,9.728644755410574552e-02
6.338370603015075488e+01,9.430525410613276038e-02
6.490895477386935397e+01,9.206217340124527027e-02
6.643420351758794595e+01,8.604220522595555642e-02
6.795945226130653793e+01,8.177135764444194710e-02
6.948470100502512992e+01,7.936721460007488405e-02
7.100994974874372190e+01,7.430948913626037045e-02
7.253519849246231388e+01,7.094824806547606055e-02
7.406044723618090586e+01,7.096076871727741153e-02
7.558569597989949784e+01,6.633653048017267018e-02
7.711094472361808982e+01,6.610855914528990240e-02
7.863619346733669602e+01,6.256142080970127084e-02
8.016144221105528800e+01,6.285908287530513061e-02
8.168669095477387998e+01,5.983493428370680739e-02
8.321193969849247196e+01,5.690426020964459847e-02
8.473718844221106394e+01,5.532676364471300623e-02
8.626243718592965593e+01,5.337238523688373620e-02
8.778768592964824791e+01,5.260667721429067994e-02
8.931293467336683989e+01,5.111280841484430043e-02
9.083818341708543187e+01,4.877982621460347917e-02
9.236343216080402385e+01,4.696633599875922604e-02
9.388868090452261583e+01,4.622942299469771921e-02
9.541392964824120781e+01,4.504975843351018833e-02
9.693917839195979980e+01,4.373873873736606327e-02
9.846442713567840599e+01,4.326919762646461165e-02
9.998967587939699797e+01,4.224462289176767610e-02
1.015149246231155900e+02,4.074886203698143555e-02
1.030401733668341819e+02,3.958107346999257398e-02
1.045654221105527739e+02,3.881494926405681251e-02
1.060906708542713659e+02,3.779149104518177149e-02
1.076159195979899579e+02,3.714167964477435580e-02
1.091411683417085499e+02,3.610447966020950000e-02
1.106664170854271418e+02,3.516794210597640191e-02
1.121916658291457338e+02,3.444595763732208327e-02
1.137169145728643258e+02,3.373830987574905765e-02
1.152421633165829178e+02,3.312259500230194803e-02
1.167674120603015098e+02,3.260001119449316975e-02
1.182926608040201160e+02,3.182350652909954336e-02
1.198179095477387079e+02,3.141139801035325307e-02
1.213431582914572999e+02,3.050371624731220560e-02
1.228684070351758919e+02,3.021863473098261935e-02
1.243936557788944839e+02,2.927350692859234313e-02
1.259189045226130759e+02,2.888153841716440892e-02
1.274441532663316679e+02,2.819713635214032149e-02
1.289694020100502598e+02,2.783440541056636519e-02
1.304946507537688376e+02,2.721042434264012502e-02
1.320198994974874438e+02,2.690626920826469023e-02
1.335451482412060500e+02,2.647191063492507559e-02
1.350703969849246278e+02,2.600353876640979639e-02
1.365956457286432055e+02,2.544559546190315602e-02
1.381208944723618117e+02,2.527178964035430020e-02
1.396461432160804179e+02,2.465095372485987327e-02
1.411713919597989957e+02,2.433728999227841722e-02
1.426966407035176019e+02,2.397958651815320849e-02
1.442218894472361796e+02,2.358866473048408172e-02
1.457471381909547858e+02,2.340477594677582360e-02
1.472723869346733920e+02,2.290484796769422238e-02
1.487976356783919698e+02,2.272237652588867535e-02
1.503228844221105760e+02,2.224491291192970052e-02
1.518481331658291538e+02,2.194174042957167808e-02
1.533733819095477600e+02,2.176363552179464214e-02
1.548986306532663377e+02,2.139785123971582603e-02
1.564238793969849439e+02,2.102669800975131079e-02
1.579491281407035217e+02,2.084721120686591420e-02
1.594743768844221279e+02,2.051328573317890910e-02
1.609996256281407057e+02,2.033200019433859668e-02
1.625248743718593119e+02,2.004579275422011669e-02
1.640501231155778896e+02,1.979134469514585645e-02
1.655753718592964958e+02,1.956836524094727678e-02
1.671006206030151020e+02,1.935372018590044915e-02
1.686258693467336798e+02,1.911187608073047772e-02
1.701511180904522860e+02,1.886764417416830764e-02
1.716763668341708637e+02,1.868634669818297275e-02
1.732016155778894699e+02,1.844487907932848905e-02
1.747268643216080477e+02,1.829060500551437513e-02
1.762521130653266539e+02,1.806009948753188599e-02
1.777773618090452317e+02,1.789197588114471715e-02
1.793026105527638379e+02,1.763578388054227314e-02
1.808278592964824156e+02,1.751887705748906426e-02
1.823531080402010218e+02,1.731060039389169247e-02
1.838783567839195996e+02,1.715485246807542385e-02
1.854036055276382058e+02,1.701399281608446251e-02
1.869288542713568120e+02,1.683886779455149793e-02
1.884541030150753897e+02,1.663947178278923217e-02
1.899793517587939959e+02,1.653499429525310052e-02
1.915046005025125737e+02,1.633446392129839220e-02
1.930298492462311799e+02,1.619447027158128077e-02
1.945550979899497577e+02,1.603924180687228696e-02
1.960803467336683639e+02,1.588524951875558422e-02
1.976055954773869416e+02,1.576754648852781576e-02
