m4_keV,Ue4sq_95CL
1.000000000000000000e+01,1.026942077030444045e+00
1.295974874371859364e+01,1.028703607246014506e+00
1.591949748743718729e+01,1.022881377493381816e+00
1.887924623115577916e+01,1.016795549675322263e+00
2.183899497487437458e+01,9.979253211530649814e-01
2.479874371859296645e+01,8.114131666838224621e-01
2.775849246231155831e+01,6.672312518139270621e-01
3.071824120603015373e+01,5.625860436265959219e-01
3.367798994974874915e+01,4.607135620514316021e-01
3.663773869346734102e+01,3.791933898487142574e-01
3.959748743718593289e+01,3.292218175695953430e-01
4.255723618090452476e+01,2.990502389597998745e-01
4.551698492462311663e+01,2.552682677621441742e-01
4.847673366834170849e+01,2.309475418352897602e-01
5.143648241206030747e+01,2.048268635795763015e-01
5.439623115577889934e+01,1.788789358545658514e-01
5.735597989949749120e+01,1.628920729622575780e-01
6.031572864321608307e+01,1.486581386478359190e-01
6.327547738693467494e+01,1.342182529505255295e-01
6.623522613065327391e+01,1.229585504018141096e-01
6.919497487437186578e+01,1.113876080249515677e-01
7.215472361809045765e+01,1.040279591625802441e-01
7.511447236180904952e+01,9.518995981143307805e-02
7.807422110552764138e+01,8.798863780515001065e-02
8.103396984924623325e+01,8.084790424946096399e-02
8.399371859296482512e+01,7.505393065273197051e-02
8.695346733668341699e+01,6.975251411784055833e-02
8.991321608040202307e+01,6.498179945210272312e-02
9.287296482412061494e+01,6.092976613471195318e-02
9.583271356783920680e+01,5.677020975562888788e-02
9.879246231155779867e+01,5.295688755224904620e-02
1.017522110552763905e+02,4.938096472538111570e-02
1.047119597989949824e+02,4.645122067180565417e-02
1.076717085427135743e+02,4.363026880986799888e-02
1.106314572864321661e+02,4.098486087013447632e-02
1.135912060301507580e+02,3.851308702090480707e-02
1.165509547738693499e+02,3.605424933581244384e-02
1.195107035175879417e+02,3.386511838198250079e-02
1.224704522613065478e+02,3.170208352363005494e-02
1.254302010050251397e+02,2.993227606798950016e-02
1.283899497487437316e+02,2.821531672047702249e-02
1.313496984924623234e+02,2.641409359913396773e-02
1.343094472361809153e+02,2.472416392893438467e-02
1.372691959798995072e+02,2.328712054316180863e-02
1.402289447236180990e+02,2.190663733888079806e-02
1.431886934673366909e+02,2.053948015128483767e-02
1.461484422110552828e+02,1.921503285628689550e-02
1.491081909547738746e+02,1.802718074266764295e-02
1.520679396984924665e+02,1.687798954575800772e-02
1.550276884422110584e+02,1.572084115831023227e-02
1.579874371859296502e+02,1.470572609547109860e-02
1.609471859296482421e+02,1.372301826131069706e-02
1.639069346733668340e+02,1.281225586213923830e-02
1.668666834170854258e+02,1.191105733214375267e-02
1.698264321608040461e+02,1.113097201751055490e-02
1.727861809045226380e+02,1.029787487818537538e-02
1.757459296482412299e+02,9.593144273775144545e-03
1.787056783919598217e+02,8.906965189605152086e-03
1.816654271356784136e+02,8.239891039797237610e-03
1.846251758793970055e+02,7.672142095676455324e-03
1.875849246231155973e+02,7.080868893098044882e-03
1.905446733668341892e+02,6.520838642550122639e-03
1.935044221105527811e+02,6.051383229916804801e-03
1.964641708542713729e+02,5.592083162257846345e-03
1.994239195979899648e+02,5.179749240211162578e-03
2.023836683417085567e+02,4.768919150737318396e-03
2.053434170854271485e+02,4.394357788064394768e-03
2.083031658291457404e+02,4.038612933682297727e-03
2.112629145728643323e+02,3.723433984588521775e-03
2.142226633165829242e+02,3.448493105273100524e-03
2.171824120603015160e+02,3.182366402705903187e-03
2.201421608040201079e+02,2.935727011163516247e-03
2.231019095477386998e+02,2.719702040087795553e-03
2.260616582914572916e+02,2.508262846984588186e-03
2.290214070351758835e+02,2.320070953178776391e-03
2.319811557788945038e+02,2.150210815991943775e-03
2.349409045226130957e+02,1.993396718155100202e-03
2.379006532663316875e+02,1.852374797185367579e-03
2.408604020100502794e+02,1.716598095813567969e-03
2.438201507537688713e+02,1.600589155580141353e-03
2.467798994974874631e+02,1.493842488421941780e-03
2.497396482412060550e+02,1.396167875476867241e-03
2.526993969849246469e+02,1.309471636009968418e-03
2.556591457286432387e+02,1.226774535991125969e-03
2.586188944723618306e+02,1.156130789967994453e-03
2.615786432160804225e+02,1.094430142799334392e-03
2.645383919597990143e+02,1.031061236311764428e-03
2.674981407035176062e+02,9.803138745612324789e-04
2.704578894472361981e+02,9.339608841662612113e-04
2.734176381909547899e+02,8.883466951445345271e-04
2.763773869346733818e+02,8.498540909977046363e-04
2.793371356783919737e+02,8.165874344063136754e-04
2.822968844221105655e+02,7.858471768696331967e-04
2.852566331658291574e+02,7.593129530501674818e-04
2.882163819095477493e+02,7.341574258602932487e-04
2.911761306532663411e+02,7.131724247057247799e-04
2.941358793969849330e+02,6.934247710342156343e-04
2.970956281407035249e+02,6.764826438889389717e-04
3.000553768844221167e+02,6.632281191832119921e-04
3.030151256281407086e+02,6.503516440852867000e-04
3.059748743718593005e+02,6.391563412409547546e-04
3.089346231155778923e+02,6.307990550866385141e-04
3.118943718592964842e+02,6.223327712225701445e-04
3.148541206030150761e+02,6.167776971247619904e-04
3.178138693467336680e+02,6.108935993568295145e-04
3.207736180904522598e+02,6.063462678891392687e-04
3.237333668341708517e+02,6.031525821194329805e-04
3.266931155778895004e+02,6.010727070444671577e-04
3.296528643216080923e+02,5.996100161360281558e-04
3.326126130653266841e+02,5.990192222238867586e-04
3.355723618090452760e+02,5.985424764121292322e-04
3.385321105527638679e+02,5.981700192143117557e-04
3.414918592964824597e+02,5.994759819579502033e-04
3.444516080402010516e+02,6.002939415036853514e-04
3.474113567839196435e+02,6.017862534753226416e-04
3.503711055276382353e+02,6.035028225829583556e-04
3.533308542713568272e+02,6.053402261059193622e-04
3.562906030150754191e+02,6.072478809514303974e-04
3.592503517587940109e+02,6.102465799411965720e-04
3.622101005025126028e+02,6.127129376522868261e-04
3.651698492462311947e+02,6.154144233717163742e-04
3.681295979899497866e+02,6.180351461713446282e-04
3.710893467336683784e+02,6.209887329430981932e-04
3.740490954773869703e+02,6.242621510791733627e-04
3.770088442211055622e+02,6.269131476278536194e-04
3.799685929648241540e+02,6.298163135472017136e-04
3.829283417085427459e+02,6.337722844307702805e-04
3.858880904522613378e+02,6.371480634705757248e-04
3.888478391959799296e+02,6.408000288597512492e-04
3.918075879396985215e+02,6.448680120120377874e-04
3.947673366834171134e+02,6.479727631099269428e-04
3.977270854271357052e+02,6.507747963420540535e-04
4.006868341708542971e+02,6.561687514893573383e-04
4.036465829145728890e+02,6.595937424305282817e-04
4.066063316582914808e+02,6.631106436099061053e-04
4.095660804020100727e+02,6.670077918699937906e-04
4.125258291457286646e+02,6.716280163302428908e-04
4.154855778894472564e+02,6.759737580453801164e-04
4.184453266331658483e+02,6.799507243857050862e-04
4.214050753768844402e+02,6.844970385326162822e-04
4.243648241206030320e+02,6.890736908070423279e-04
4.273245728643216239e+02,6.940166098883802405e-04
4.302843216080402158e+02,6.996961456462416802e-04
4.332440703517588076e+02,7.039678557997285048e-04
4.362038190954773995e+02,7.089254247112083745e-04
4.391635678391959914e+02,7.151434800061425880e-04
4.421233165829145833e+02,7.206009481794638238e-04
4.450830653266331751e+02,7.262769761800331667e-04
4.480428140703517670e+02,7.320377168088844366e-04
4.510025628140703589e+02,7.377002383727552246e-04
4.539623115577890076e+02,7.440930854998168949e-04
4.569220603015075994e+02,7.510611918848197986e-04
4.598818090452261913e+02,7.573461639343390811e-04
4.628415577889447832e+02,7.645399645911055099e-04
4.658013065326633750e+02,7.723695405355023892e-04
4.687610552763819669e+02,7.797767216144801212e-04
4.717208040201005588e+02,7.871676520911087245e-04
4.746805527638191506e+02,7.943640463035758683e-04
4.776403015075377425e+02,8.033301893003956659e-04
4.806000502512563344e+02,8.120218139755242545e-04
4.835597989949749262e+02,8.204838936851927955e-04
4.865195477386935181e+02,8.307845847037640232e-04
4.894792964824121100e+02,8.396370519821040167e-04
4.924390452261307018e+02,8.491321124557562423e-04
4.953987939698492937e+02,8.610558379468231504e-04
4.983585427135678856e+02,8.715656740404740784e-04
5.013182914572864775e+02,8.835907101042086856e-04
5.042780402010050693e+02,8.956650881156672395e-04
5.072377889447236612e+02,9.078207685506150138e-04
5.101975376884422531e+02,9.217455497106321217e-04
5.131572864321608449e+02,9.347599348001542352e-04
5.161170351758794368e+02,9.499721280017175062e-04
5.190767839195980287e+02,9.657238534931546605e-04
5.220365326633166205e+02,9.812572088740460167e-04
5.249962814070352124e+02,9.992567711414417336e-04
5.279560301507538043e+02,1.017993336743235966e-03
5.309157788944723961e+02,1.036045990571195143e-03
5.338755276381909880e+02,1.056880331418650612e-03
5.368352763819095799e+02,1.080728699993159557e-03
5.397950251256281717e+02,1.105442447364689230e-03
5.427547738693467636e+02,1.129986119778059357e-03
5.457145226130653555e+02,1.159176018820396023e-03
5.486742713567839473e+02,1.188361581082456649e-03
5.516340201005025392e+02,1.220056945906522992e-03
5.545937688442211311e+02,1.256807040137697395e-03
5.575535175879397229e+02,1.296798621752665026e-03
5.605132663316583148e+02,1.340282026470699262e-03
5.634730150753769067e+02,1.389786706979846470e-03
5.664327638190954985e+02,1.444555114931962096e-03
5.693925125628140904e+02,1.508623089491247481e-03
5.723522613065326823e+02,1.576726821091128114e-03
5.753120100502512742e+02,1.660297265672731459e-03
5.782717587939698660e+02,1.760114629254169727e-03
5.812315075376884579e+02,1.878259353298214430e-03
5.841912562814070498e+02,2.025465577822089819e-03
5.871510050251256416e+02,2.214623183814452140e-03
5.901107537688442335e+02,2.473004269966417711e-03
5.930705025125628254e+02,2.848104772870777533e-03
5.960302512562814172e+02,3.479900278389673907e-03
5.989900000000000091e+02,4.895352844951985499e-03
