m4_keV,Ue4sq_95CL
1.000000000000000000e+01,2.386697380037781230e-02
1.027629906614033217e+01,2.219302201541899222e-02
1.056023224967566421e+01,2.187882581195653778e-02
1.085201048055670547e+01,2.169139472284537656e-02
1.115185051670899519e+01,2.216006409391387683e-02
1.145997510505932304e+01,2.154927110243476385e-02
1.177661314701125583e+01,2.077202088674979727e-02
1.210199986849277209e+01,2.296710842437773778e-02
1.243637699470226821e+01,2.150824293886910779e-02
1.277999292968280187e+01,2.631907856702896120e-02
1.313310294085794183e+01,2.159312779889619935e-02
1.349596934866633191e+01,2.193922152983601714e-02
1.386886172143583629e+01,2.391204808538859375e-02
1.425205707564203905e+01,2.094278535782090334e-02
1.464584008169990703e+01,2.398656502509403932e-02
1.505050327544133104e+01,2.199675385431537969e-02
1.546634727543597521e+01,2.342930729348770280e-02
1.589368100631647707e+01,2.281172242671883690e-02
1.633282192827423529e+01,2.497783938558027078e-02
1.678409627289608252e+01,2.171022354868743301e-02
1.724783928551714496e+01,2.323470925499960052e-02
1.772439547426983708e+01,2.104996849088015820e-02
1.821411886601410401e+01,2.267765265811683140e-02
1.871737326933897094e+01,2.379495662920771970e-02
1.923453254483080954e+01,2.326630505719733816e-02
1.976598088280906396e+01,2.014921198855159495e-02
2.031211308873584187e+01,2.276214935376042608e-02
2.087333487651129360e+01,2.087299298694466482e-02
2.145006316987274531e+01,2.144594580927566829e-02
2.204272641212143924e+01,2.219708711601469514e-02
2.265176488440703650e+01,2.217160183052082831e-02
2.327763103280623724e+01,2.089379503095262908e-02
2.392078980443859493e+01,2.025511910455882886e-02
2.458171899286914908e+01,1.952971569280334552e-02
2.526090959305452799e+01,2.230476004425763908e-02
2.595886616609616127e+01,2.199273696518219690e-02
2.667610721407156760e+01,2.191526371467582973e-02
2.741316556522231451e+01,2.094461602437164630e-02
2.817058876978442328e+01,2.362065156245770486e-02
2.894893950675591299e+01,2.425420498953255455e-02
2.974879600190285700e+01,2.250421170700880533e-02
3.057075245731537194e+01,2.148166190376429863e-02
3.141541949283170254e+01,2.219453777297411209e-02
3.228342459965933386e+01,2.425000298059500417e-02
3.317541260652908619e+01,2.322173562342223774e-02
3.409204615872950228e+01,2.205043990844791219e-02
3.503400621037651064e+01,2.036769259769517781e-02
3.600199253028466728e+01,2.179551825691732059e-02
3.699672422181555476e+01,2.332698526786570678e-02
3.801894025708945435e+01,2.167847522137952149e-02
3.906940002595734285e+01,2.139760339295579405e-02
4.014888390014084507e+01,2.231268740271784290e-02
4.125819381295939792e+01,2.289068133906390148e-02
4.239815385507514378e+01,2.378320843446608476e-02
4.356961088669827831e+01,1.956195210087897235e-02
4.477343516670751455e+01,2.136757605474190816e-02
4.601052099915311544e+01,2.152627187408061998e-02
4.728178739762272187e+01,2.134708392394570053e-02
4.858817876796361190e+01,2.209202513873536819e-02
4.993066560986837032e+01,2.095187481075046904e-02
5.131024523784557090e+01,2.058986957170445831e-02
5.272794252211036081e+01,2.141948865673395930e-02
5.418481064994639951e+01,2.006057238319264996e-02
5.568193190810346493e+01,2.158904850007090093e-02
5.722041848681334386e+01,2.325297789454281241e-02
5.880141330601986027e+01,2.258158726013103842e-02
6.042609086443838606e+01,1.986854964041103247e-02
6.209565811207387043e+01,2.171000531251242316e-02
6.381135534684743504e+01,2.081793334621923411e-02
6.557445713599567227e+01,2.143119355278296639e-02
6.738627326292919406e+01,1.972122590790691479e-02
6.924814970025161642e+01,1.964211564470325772e-02
7.116146960966415236e+01,1.933422257619328219e-02
7.312765436949652553e+01,2.112115228760697364e-02
7.514816463062901164e+01,1.951881689582611948e-02
7.722450140158927923e+01,1.944319481894147064e-02
7.935820716363046756e+01,1.830513164738540102e-02
8.155086701661866755e+01,1.837416223472927712e-02
8.380410985658127743e+01,1.740409343263970079e-02
8.611960958579079772e+01,1.752726211551150839e-02
8.849908635628318621e+01,1.768747779533553707e-02
9.094430784773454945e+01,1.593550779753702060e-02
9.345709058064532826e+01,1.697849116325197971e-02
9.603930126580780779e+01,1.547881786085823080e-02
9.869285819105901680e+01,1.472441188692014472e-02
1.014197326463500417e+02,1.395586351537132612e-02
1.042219503881889580e+02,1.443273289763077893e-02
1.071015931445469533e+02,1.383346667175600238e-02
1.100608001613449147e+02,1.362804834459849755e-02
1.131017697916686870e+02,1.300200512943273240e-02
1.162267611288943101e+02,1.251165702489663058e-02
1.194380956849372666e+02,1.195438995159904538e-02
1.227381591148699727e+02,1.229917029683592553e-02
1.261294029891921014e+02,1.122196199958035677e-02
1.296143466150672907e+02,1.054592281833717157e-02
1.331955789078806163e+02,1.036086115909052446e-02
