m4_keV,Ue4sq_f0_1kHz,Ue4sq_f0_10kHz,Ue4sq_f0_100kHz,Ue4sq_f0_1MHz
1.000000000000000000e+01,4.884992932917062713e-01,6.573488897964661071e-01,9.694068080845320567e-01,9.962392790294464229e-01
1.119269194549214674e+01,3.756835184690286433e-01,6.104474713327416868e-01,8.840101416664780665e-01,8.145649399224166309e-01
1.252763529866847847e+01,3.523740330707008650e-01,4.931597816293104009e-01,7.097016798311707175e-01,8.784131269710914180e-01
1.402179627034698761e+01,2.665816813811759389e-01,4.665054930024970514e-01,9.248294969726783554e-01,9.784491319120409702e-01
1.569416461764445536e+01,2.056330684287693278e-01,3.649452166588492696e-01,6.878872930615640424e-01,8.667351356258359285e-01
1.756599499071369408e+01,1.755162020679143786e-01,3.558414259350130560e-01,8.374804189549862610e-01,9.284040381581040169e-01
1.966107706471166949e+01,1.411188387422369628e-01,2.892368762960336737e-01,6.511205356952751711e-01,8.282906497297130022e-01
2.200603789018986944e+01,1.138295899542178802e-01,2.389962826496735693e-01,6.076730914361577751e-01,8.492872829628257403e-01
2.463068030457231572e+01,9.030792985474879464e-02,1.898259721283448997e-01,5.567550657968667327e-01,8.725330673196547426e-01
2.756836170569786404e+01,7.244926842013560409e-02,1.532392014269064184e-01,4.476593543193625457e-01,8.790593575226099965e-01
3.085641800137786106e+01,5.695303265391624126e-02,1.189282750516381520e-01,3.326764455711700430e-01,7.174636382065558982e-01
3.453663812307610925e+01,4.556572328714812714e-02,9.724407081074207260e-02,2.828278058245370929e-01,7.062802412332113144e-01
3.865579513445310056e+01,3.640531464836542497e-02,7.808664278067786735e-02,2.300580111377614756e-01,6.186648636391011147e-01
4.326624068479877394e+01,2.937496375608789068e-02,6.258594009848221507e-02,1.859230792620273076e-01,5.436831219393711834e-01
4.842657036244721525e+01,2.295332800022089823e-02,4.880497881982854419e-02,1.407818794900031201e-01,4.030788753201737795e-01
5.420236840435717340e+01,1.821294690320187509e-02,3.921558242098868718e-02,1.153255452726278524e-01,3.313946017523145549e-01
6.066704122660465259e+01,1.431940993099751688e-02,3.106010789825833576e-02,9.198506511181876732e-02,2.693480324164335138e-01
6.790275036938579944e+01,1.111813335048234333e-02,2.459322515161657327e-02,7.319597277132479374e-02,2.206833789946522906e-01
7.600145671361883615e+01,8.571603626929302430e-03,1.956123540178118445e-02,6.058385433852781637e-02,1.976985571232876271e-01
8.506608924041920261e+01,6.412486782045521451e-03,1.522517408841444174e-02,4.796735166830447955e-02,1.557489263317636263e-01
9.521185318757562754e+01,4.647742823992791379e-03,1.157578411165562093e-02,3.748143322026719487e-02,1.168765159977050022e-01
1.065676942287959150e+02,3.209783642439975257e-03,8.683920596232189842e-03,2.986105114609254041e-02,9.508286084827134721e-02
1.192779372844314025e+02,2.075683786614559555e-03,6.252356333950145027e-03,2.360283009774594848e-02,7.634023652951490990e-02
1.335041207918372947e+02,1.233582203302186712e-03,4.223174948559924730e-03,1.837860833316169729e-02,5.996954011466055362e-02
1.494270497476807975e+02,6.665063292603149543e-04,2.607812926897179386e-03,1.435365498368277627e-02,4.879419304505533406e-02
1.672490936149521303e+02,3.249376579654418649e-04,1.420340947040049651e-03,1.094418067598847653e-02,3.881702434757963727e-02
1.871967582994936947e+02,1.393351739713707363e-04,6.687938363856579891e-04,8.073642190125580875e-03,3.072736675828411507e-02
2.095235648840983345e+02,6.215416828648556485e-05,2.801162839046839005e-04,5.631707790458692110e-03,2.412939500655299219e-02
2.345132717069051012e+02,4.398576652505913087e-05,1.172327157182105601e-04,3.681492719723640245e-03,1.930235366106885717e-02
2.624834807344885803e+02,4.272981768965492216e-05,5.950393538227493446e-05,2.113835977758481491e-03,1.502509002283185235e-02
2.937896740641656379e+02,4.334317060024238312e-05,4.496694134957892382e-05,1.040773567685911779e-03,1.150042659711914515e-02
3.288297318566749823e+02,4.419076269559438626e-05,4.420143652940877033e-05,4.423412014996152370e-04,8.503774692658496934e-03
3.680489891190549088e+02,4.535054693241070186e-05,4.535054693240816076e-05,1.786006950923478608e-04,6.026856292354223869e-03
4.119458956059372667e+02,4.689175782201411433e-05,4.689175782201149192e-05,8.119001557495515774e-05,3.890750471066291120e-03
4.610783507727123265e+02,4.907324092746710693e-05,4.907324092746435576e-05,5.326789326802532722e-05,2.192172324924578607e-03
5.160707942934545827e+02,5.231037096198541930e-05,5.231037096198249195e-05,5.235192879799465841e-05,1.032407105433635289e-03
5.776221422592077488e+02,5.737297804373957613e-05,5.737297804373636418e-05,5.737297804373637096e-05,4.185580215131151551e-04
6.465146699202560967e+02,6.650681103822903809e-05,6.650681103822531114e-05,6.650681103822531114e-05,1.707309492699825391e-04
7.236239538658965103e+02,8.819789072263583597e-05,8.819789072263088930e-05,8.819789072263088930e-05,1.044149979102441370e-04
8.099299999999999500e+02,4.048269877653752472e-04,4.048269877653525874e-04,4.048269877653526416e-04,4.048299045462864479e-04
