m4_keV,Ue4sq_95CL
1.000000000000000000e+01,7.904493955872758937e-01
1.401974874371859237e+01,7.501319221867263076e-01
1.803949748743718473e+01,6.342105790072195548e-01
2.205924623115577532e+01,5.262112647992382986e-01
2.607899497487436946e+01,3.661214998707391644e-01
3.009874371859296360e+01,3.542652819604308889e-01
3.411849246231155064e+01,2.906162349224439279e-01
3.813824120603014478e+01,2.284039527760145794e-01
4.215798994974873892e+01,1.915931252037706423e-01
4.617773869346733306e+01,1.675735957418523214e-01
5.019748743718592721e+01,1.318408996877674100e-01
5.421723618090451424e+01,1.186346860586227348e-01
5.823698492462310838e+01,1.037834993865326405e-01
6.225673366834170253e+01,9.082229116692133730e-02
6.627648241206028956e+01,7.937481258722643707e-02
7.029623115577888370e+01,7.174872868417284111e-02
7.431597989949747785e+01,6.259636647454923375e-02
7.833572864321607199e+01,5.645818703006865585e-02
8.235547738693466613e+01,5.021812534761193464e-02
8.637522613065326027e+01,4.632772352338263011e-02
9.039497487437185441e+01,4.244997728245912538e-02
9.441472361809043434e+01,3.868983190496949609e-02
9.843447236180902848e+01,3.581126695276894839e-02
1.024542211055276226e+02,3.266781012450223343e-02
1.064739698492462168e+02,3.021893039067663836e-02
1.104937185929648109e+02,2.791848033013922051e-02
1.145134673366834051e+02,2.584814339109687067e-02
1.185332160804019992e+02,2.401083141541712068e-02
1.225529648241205791e+02,2.250394147192048486e-02
1.265727135678391733e+02,2.085791444407735992e-02
1.305924623115577674e+02,1.971254589972441101e-02
1.346122110552763615e+02,1.831638857316676347e-02
1.386319597989949557e+02,1.721392773021129807e-02
1.426517085427135498e+02,1.606100478711398535e-02
1.466714572864321440e+02,1.501213820374442190e-02
1.506912060301507381e+02,1.422221179947528134e-02
1.547109547738693323e+02,1.339874157386407305e-02
1.587307035175879264e+02,1.250076141640356353e-02
1.627504522613065205e+02,1.176472733329423162e-02
1.667702010050251147e+02,1.113739217085756884e-02
1.707899497487437088e+02,1.046725191130944317e-02
1.748096984924622745e+02,9.828527971741682009e-03
1.788294472361808687e+02,9.217599562976911548e-03
1.828491959798994628e+02,8.740604525862128923e-03
1.868689447236180570e+02,8.196283520484883012e-03
1.908886934673366511e+02,7.701104854206958054e-03
1.949084422110552453e+02,7.263743879076731136e-03
1.989281909547738394e+02,6.792696282469825285e-03
2.029479396984924335e+02,6.379822380740814147e-03
