m4_keV,Ue4sq_95CL
1.000000000000000000e+01,5.856871279702373645e-01
1.425974874371859258e+01,4.688989463560729321e-01
1.851949748743718516e+01,5.411637840849813363e-01
2.277924623115577774e+01,3.728890318109814861e-01
2.703899497487437031e+01,2.914625630051488336e-01
3.129874371859296289e+01,2.279034252340699229e-01
3.555849246231155547e+01,1.805551543545177995e-01
3.981824120603015160e+01,1.489714831112202986e-01
4.407798994974874063e+01,1.335826118942624041e-01
4.833773869346732965e+01,1.072350225243352134e-01
5.259748743718592578e+01,9.174711975117583185e-02
5.685723618090452192e+01,7.643442959301606499e-02
6.111698492462311094e+01,6.743885246297770530e-02
6.537673366834169997e+01,5.809888716859576419e-02
6.963648241206030320e+01,5.326265238636681415e-02
7.389623115577889223e+01,4.740369613425342993e-02
7.815597989949748126e+01,4.218404298086610854e-02
8.241572864321607028e+01,3.782989388056051672e-02
8.667547738693465931e+01,3.387454821115657572e-02
9.093522613065326254e+01,2.955811184017263782e-02
9.519497487437185157e+01,2.776947304887605536e-02
9.945472361809044060e+01,2.518796509973298889e-02
1.037144723618090438e+02,2.285974533579239118e-02
1.079742211055276329e+02,2.118443997482623298e-02
1.122339698492462219e+02,1.901393974201966847e-02
1.164937185929648109e+02,1.727012338424463792e-02
1.207534673366833999e+02,1.597123190241996060e-02
1.250132160804020032e+02,1.450935383496550213e-02
1.292729648241206064e+02,1.315696079138021883e-02
1.335327135678391812e+02,1.232348799851327309e-02
1.377924623115577845e+02,1.099771854920009520e-02
1.420522110552763593e+02,1.006919508127115948e-02
1.463119597989949625e+02,9.172145538115447638e-03
1.505717085427135657e+02,8.299793270650257168e-03
1.548314572864321406e+02,7.569246632241336502e-03
1.590912060301507438e+02,6.722937804578754326e-03
1.633509547738693186e+02,6.167179709319664700e-03
1.676107035175879219e+02,5.432677006117394257e-03
1.718704522613065251e+02,4.860914039564510555e-03
1.761302010050250999e+02,4.381160966988548525e-03
1.803899497487437031e+02,3.854655377714497066e-03
1.846496984924623064e+02,3.382732051456039356e-03
1.889094472361808812e+02,2.984098976335079322e-03
1.931691959798994844e+02,2.668991666570705214e-03
