m4_keV,Ue4sq_95CL
1.000000000000000000e+01,5.818900005804567011e-01
1.370974874371859364e+01,6.098976526983317381e-01
1.741949748743718729e+01,5.084473456117319934e-01
2.112924623115577916e+01,4.373412591057278531e-01
2.483899497487437458e+01,3.911193485272583259e-01
2.854874371859296645e+01,3.098143748889971572e-01
3.225849246231155831e+01,2.544318993396211259e-01
3.596824120603015729e+01,2.362848681834903153e-01
3.967798994974874915e+01,1.762380960878469072e-01
4.338773869346734102e+01,1.529221087419840308e-01
4.709748743718593289e+01,1.333210377941406455e-01
5.080723618090452476e+01,1.158816118010081164e-01
5.451698492462311663e+01,1.051955806143187594e-01
5.822673366834170849e+01,8.998248708770199833e-02
6.193648241206030747e+01,8.025245092582260209e-02
6.564623115577890644e+01,7.276287738847385389e-02
6.935597989949749831e+01,6.408415495355712643e-02
7.306572864321609018e+01,5.888265900119456220e-02
7.677547738693468204e+01,5.385798285706778349e-02
8.048522613065327391e+01,4.894065488022223548e-02
8.419497487437186578e+01,4.458642865700697400e-02
8.790472361809045765e+01,4.044819004251713757e-02
9.161447236180904952e+01,3.700085635313986321e-02
9.532422110552764138e+01,3.388180578874526450e-02
9.903396984924623325e+01,3.195388332714620833e-02
1.027437185929648251e+02,2.923695052249900006e-02
1.064534673366834170e+02,2.736031333447152755e-02
1.101632160804020231e+02,2.516168859464915433e-02
1.138729648241206149e+02,2.357247260031906239e-02
1.175827135678392068e+02,2.195267969939126984e-02
1.212924623115577987e+02,2.048856446372103457e-02
1.250022110552763905e+02,1.916525462570226393e-02
1.287119597989949966e+02,1.797076215575145811e-02
1.324217085427135885e+02,1.673681195933073018e-02
1.361314572864321804e+02,1.569063105147305154e-02
1.398412060301507722e+02,1.468575384105746257e-02
1.435509547738693641e+02,1.378574288548378886e-02
1.472607035175879560e+02,1.296022780369095184e-02
1.509704522613065478e+02,1.214235887457340395e-02
1.546802010050251397e+02,1.133299546195144780e-02
1.583899497487437316e+02,1.061663732450931000e-02
1.620996984924623234e+02,9.969946443164746583e-03
1.658094472361809153e+02,9.251752132958961788e-03
1.695191959798995072e+02,8.652078013154242131e-03
1.732289447236180990e+02,8.117475188775780462e-03
1.769386934673366909e+02,7.570512966122125605e-03
1.806484422110552828e+02,7.071793235850690369e-03
1.843581909547738746e+02,6.558149007276773031e-03
1.880679396984924665e+02,6.113758603147150666e-03
1.917776884422110584e+02,5.712781211049971879e-03
1.954874371859296502e+02,5.276761037678798054e-03
1.991971859296482421e+02,4.876438656145097757e-03
2.029069346733668340e+02,4.545391302577327097e-03
2.066166834170854258e+02,4.168237363675194977e-03
2.103264321608040461e+02,3.866111166864776537e-03
2.140361809045226380e+02,3.541272631395699002e-03
2.177459296482412299e+02,3.273091802756496367e-03
2.214556783919598217e+02,3.004503549455042177e-03
2.251654271356784136e+02,2.743528224333030303e-03
2.288751758793970055e+02,2.548628001170491486e-03
2.325849246231155973e+02,2.322072276663362037e-03
