m4_keV,Ue4sq_95CL
1.000000000000000000e+01,1.031280008808255877e+00
1.048474874371859222e+01,1.029688897828001881e+00
1.096949748743718622e+01,1.025676352742328046e+00
1.145424623115577845e+01,1.024725493949256494e+00
1.193899497487437245e+01,1.016481552349987716e+00
1.242374371859296467e+01,1.022666039767383017e+00
1.290849246231155689e+01,9.910236967435415156e-01
1.339324120603015089e+01,9.797941298666703602e-01
1.387798994974874489e+01,8.848745612501972557e-01
1.436273869346733711e+01,8.493533938348591938e-01
1.484748743718592934e+01,8.274456028515297934e-01
1.533223618090452334e+01,7.566609921466315170e-01
1.581698492462311556e+01,7.139686577856965144e-01
1.630173366834170778e+01,6.513158199319760699e-01
1.678648241206030178e+01,6.592748798555913003e-01
1.727123115577889578e+01,6.105215947771068796e-01
1.775597989949748978e+01,5.687368112711881363e-01
1.824072864321608023e+01,5.325342268546824354e-01
1.872547738693467423e+01,5.063730769511551877e-01
1.921022613065326823e+01,4.928455660798938265e-01
1.969497487437185868e+01,4.566331559480404367e-01
2.017972361809045267e+01,4.525365841965612868e-01
2.066447236180904667e+01,4.241214287479470046e-01
2.114922110552763712e+01,3.926986970355683115e-01
2.163396984924623112e+01,3.927653904449234235e-01
2.211871859296482512e+01,3.722993711765224534e-01
2.260346733668341557e+01,3.486449120261856383e-01
2.308821608040201312e+01,3.306027833079395184e-01
2.357296482412060357e+01,3.285564029204816605e-01
2.405771356783919757e+01,3.072172510896083453e-01
2.454246231155779157e+01,3.014105571867495281e-01
2.502721105527638201e+01,2.874850807127845020e-01
2.551195979899497601e+01,2.791018702157353482e-01
2.599670854271357001e+01,2.693513556035542766e-01
2.648145728643216046e+01,2.606431281752344953e-01
2.696620603015075446e+01,2.479791708857026766e-01
2.745095477386934846e+01,2.379115625949607127e-01
2.793570351758794246e+01,2.336651017031176614e-01
2.842045226130653290e+01,2.252364826072334736e-01
2.890520100502512690e+01,2.186416488740250685e-01
2.938994974874372090e+01,2.106614524087660756e-01
2.987469849246231135e+01,2.050217175215830745e-01
3.035944723618090535e+01,1.957597295243812818e-01
3.084419597989949935e+01,1.919165072037818942e-01
3.132894472361809335e+01,1.855523469641722767e-01
3.181369346733668380e+01,1.794788912703208505e-01
3.229844221105527424e+01,1.741470680438294838e-01
3.278319095477387179e+01,1.708910742450981679e-01
3.326793969849246224e+01,1.673342888354305003e-01
3.375268844221105269e+01,1.602766148963542248e-01
3.423743718592965024e+01,1.560743756873240184e-01
3.472218592964824779e+01,1.522824169081554713e-01
3.520693467336683113e+01,1.472656728933586512e-01
3.569168341708542869e+01,1.432198013201453624e-01
3.617643216080402624e+01,1.392963107141579060e-01
3.666118090452261669e+01,1.359123598046016179e-01
3.714592964824120713e+01,1.317960357354132916e-01
3.763067839195980469e+01,1.292521526178859181e-01
3.811542713567839513e+01,1.256254382025256133e-01
3.860017587939698558e+01,1.232427054824838109e-01
3.908492462311558313e+01,1.211615784643126220e-01
3.956967336683417358e+01,1.180831741802308432e-01
4.005442211055276402e+01,1.139360841464959473e-01
4.053917085427136158e+01,1.116165821435974453e-01
4.102391959798995202e+01,1.096489817429577435e-01
4.150866834170854247e+01,1.056532981424557066e-01
4.199341708542714002e+01,1.040752159965671192e-01
4.247816582914573047e+01,1.011463891179497365e-01
4.296291457286432092e+01,9.984106991732705216e-02
4.344766331658291847e+01,9.757301135142346094e-02
4.393241206030150892e+01,9.516787605054309596e-02
4.441716080402010647e+01,9.316468861109369892e-02
4.490190954773869692e+01,9.053590777085955554e-02
4.538665829145728736e+01,8.927030144441844284e-02
4.587140703517588491e+01,8.740398912494622141e-02
4.635615577889447536e+01,8.585774464186628208e-02
4.684090452261306581e+01,8.433605038808478227e-02
4.732565326633166336e+01,8.233286948636744929e-02
4.781040201005025381e+01,8.015334375511486142e-02
4.829515075376884425e+01,7.884385660531528783e-02
4.877989949748744181e+01,7.720994984819178064e-02
4.926464824120603225e+01,7.578295921606237329e-02
4.974939698492462270e+01,7.360056370574968865e-02
5.023414572864322025e+01,7.259539250100950636e-02
5.071889447236181070e+01,7.123183560717544216e-02
5.120364321608040825e+01,6.984052812969027135e-02
5.168839195979899870e+01,6.825517769205829977e-02
5.217314070351758915e+01,6.724532040992219073e-02
5.265788944723618670e+01,6.559090826266615604e-02
5.314263819095477714e+01,6.494935886735016262e-02
5.362738693467336759e+01,6.342051327940453898e-02
5.411213567839196514e+01,6.214102784979506217e-02
5.459688442211055559e+01,6.087492765377910259e-02
5.508163316582914604e+01,6.002768406810122387e-02
5.556638190954774359e+01,5.846293337447201061e-02
5.605113065326633404e+01,5.790357670581076227e-02
5.653587939698492448e+01,5.642902283618035641e-02
5.702062814070352204e+01,5.554510685358825944e-02
5.750537688442211248e+01,5.464740777948016298e-02
5.799012562814071003e+01,5.362880822528591496e-02
5.847487437185930048e+01,5.247807262100288167e-02
5.895962311557789093e+01,5.162191842410055603e-02
5.944437185929648848e+01,5.083648177646205024e-02
5.992912060301507893e+01,4.978856869797549517e-02
6.041386934673366937e+01,4.903936003160893481e-02
6.089861809045226693e+01,4.808246167945278565e-02
6.138336683417085737e+01,4.740418679874159463e-02
6.186811557788944782e+01,4.619892114235095437e-02
6.235286432160804537e+01,4.527684812440313511e-02
6.283761306532663582e+01,4.470339578969041716e-02
6.332236180904523337e+01,4.395205185135966919e-02
6.380711055276382382e+01,4.312242746023065010e-02
6.429185929648241427e+01,4.251980834760420158e-02
6.477660804020101182e+01,4.158939812340431419e-02
6.526135678391960937e+01,4.078537285297093723e-02
6.574610552763819271e+01,4.017330247896665207e-02
6.623085427135679026e+01,3.951567287366788972e-02
6.671560301507537361e+01,3.873701169482539342e-02
6.720035175879397116e+01,3.807674880913341359e-02
6.768510050251256871e+01,3.717889288541141590e-02
