m4_keV,Ue4sq_95CL
9.253500000000000725e+00,7.081214477915857841e-02
9.300000000000000711e+00,7.013405426281653365e-02
9.346500000000000696e+00,6.993890524258852825e-02
9.393000000000000682e+00,6.948585080171033879e-02
9.439500000000000668e+00,6.891248266194370531e-02
9.486000000000000654e+00,6.862367315386408428e-02
9.532500000000000639e+00,6.788336912991657646e-02
9.579000000000000625e+00,6.749387842823953432e-02
9.625500000000000611e+00,6.718432472255020382e-02
9.672000000000000597e+00,6.687985361406767471e-02
9.718500000000000583e+00,6.643693764214010644e-02
9.765000000000000568e+00,6.582810506228699288e-02
9.811500000000000554e+00,6.555470828811303663e-02
9.858000000000000540e+00,6.512929815306205128e-02
9.904500000000000526e+00,6.483166359214230512e-02
9.951000000000000512e+00,6.429457255745205102e-02
9.997500000000000497e+00,6.409108225332622866e-02
1.004400000000000048e+01,6.364241762543521030e-02
1.009050000000000047e+01,6.329796189864214662e-02
1.013700000000000045e+01,6.299899747081919021e-02
1.018350000000000044e+01,6.253809177096773808e-02
1.023000000000000043e+01,6.237807031590215934e-02
1.027650000000000041e+01,6.207626099951777526e-02
1.032300000000000040e+01,6.151855235100609637e-02
1.036950000000000038e+01,6.130696421125191725e-02
1.041600000000000037e+01,6.100959659077888342e-02
1.046250000000000036e+01,6.046133109838065789e-02
1.050900000000000034e+01,6.039313832885525452e-02
1.055550000000000033e+01,6.021598601311928256e-02
1.060200000000000031e+01,5.968059404349745217e-02
1.064850000000000030e+01,5.959062124067094485e-02
1.069500000000000028e+01,5.911883130469230974e-02
1.074150000000000027e+01,5.879905720457606622e-02
1.078800000000000026e+01,5.867626828253563742e-02
1.083450000000000024e+01,5.834911444653770318e-02
1.088100000000000023e+01,5.810335109474711046e-02
1.092750000000000021e+01,5.777215822285061003e-02
1.097400000000000020e+01,5.755443041913172603e-02
1.102050000000000196e+01,5.726014014011018838e-02
1.106700000000000017e+01,5.711768448518509539e-02
1.111350000000000193e+01,5.692786603230100273e-02
1.116000000000000014e+01,5.656717443187069677e-02
1.120650000000000190e+01,5.619745377088930516e-02
1.125300000000000011e+01,5.607596836903303711e-02
1.129950000000000188e+01,5.586036803325659245e-02
1.134600000000000009e+01,5.567985824900754249e-02
1.139250000000000185e+01,5.543795140411188899e-02
1.143900000000000006e+01,5.531780652557664879e-02
1.148550000000000182e+01,5.502016921910650449e-02
1.153200000000000003e+01,5.478172122214629985e-02
1.157850000000000179e+01,5.455991204654980081e-02
1.162500000000000000e+01,5.453036799286166414e-02
1.167150000000000176e+01,5.423537632289434501e-02
1.171799999999999997e+01,5.410558366830068439e-02
1.176450000000000173e+01,5.378237172289054846e-02
1.181100000000000172e+01,5.366077487393358658e-02
1.185750000000000171e+01,5.348825766479988614e-02
1.190400000000000169e+01,5.328852761230128132e-02
1.195050000000000168e+01,5.312628576434187677e-02
1.199700000000000166e+01,5.298484835560754447e-02
1.204350000000000165e+01,5.282264600317113090e-02
1.209000000000000163e+01,5.261246633703808850e-02
1.213650000000000162e+01,5.247292811323950312e-02
1.218300000000000161e+01,5.236577943840669408e-02
1.222950000000000159e+01,5.205109010216037863e-02
1.227600000000000158e+01,5.201682284301452353e-02
1.232250000000000156e+01,5.189624369560275063e-02
1.236900000000000155e+01,5.169983144909370831e-02
1.241550000000000153e+01,5.149830602783060651e-02
1.246200000000000152e+01,5.162647146922565156e-02
1.250850000000000151e+01,5.129146798987954670e-02
1.255500000000000149e+01,5.116927959871538090e-02
1.260150000000000148e+01,5.103868244381313396e-02
1.264800000000000146e+01,5.088249321752011389e-02
1.269450000000000145e+01,5.075085100248243747e-02
1.274100000000000144e+01,5.067396213554117845e-02
1.278750000000000142e+01,5.071731852254772466e-02
1.283400000000000141e+01,5.059631131309949570e-02
1.288050000000000139e+01,5.045449140598016330e-02
1.292700000000000138e+01,5.036120657839993076e-02
1.297350000000000136e+01,5.022541387050138972e-02
1.302000000000000135e+01,5.030472435709035933e-02
1.306650000000000134e+01,5.021262807156219588e-02
1.311300000000000132e+01,5.013209368419202505e-02
1.315950000000000131e+01,5.006686341689375180e-02
1.320600000000000129e+01,5.007953459154285136e-02
1.325250000000000128e+01,5.007068928122273416e-02
1.329900000000000126e+01,4.998276447048364407e-02
1.334550000000000125e+01,4.994482147135848038e-02
1.339200000000000124e+01,4.982014221049473751e-02
1.343850000000000122e+01,4.987886017468726868e-02
1.348500000000000121e+01,4.991130664295339442e-02
1.353150000000000119e+01,4.997591644175766040e-02
1.357800000000000118e+01,4.994160028886929226e-02
1.362450000000000117e+01,4.980021238461781324e-02
1.367100000000000115e+01,4.992893475545267384e-02
1.371750000000000114e+01,4.998439269710112931e-02
1.376400000000000112e+01,5.014777560066664003e-02
1.381050000000000111e+01,5.004043383881085633e-02
1.385700000000000109e+01,5.017130085820847851e-02
1.390350000000000108e+01,5.035973171328367304e-02
1.395000000000000107e+01,5.043046521010869504e-02
