m4_keV,Ue4sq_95CL
1.000000000000000000e+01,3.795616705610310726e-02
1.850324874371859352e+01,3.974729274095572390e-02
2.700649748743718703e+01,3.975059251027973639e-02
3.550974623115578055e+01,4.015638393839886244e-02
4.401299497487437407e+01,3.975306201508897047e-02
5.251624371859296758e+01,3.814844678629582958e-02
6.101949246231156110e+01,3.233325056559392674e-02
6.952274120603016172e+01,2.955125835299007159e-02
7.802598994974874813e+01,2.647218118593892139e-02
8.652923869346733454e+01,2.417988190235347695e-02
9.503248743718593516e+01,2.053177899349024893e-02
1.035357361809045358e+02,1.626402271587342949e-02
1.120389849246231222e+02,1.487454417385997672e-02
1.205422336683417086e+02,1.282092038473443656e-02
1.290454824120603234e+02,1.156546010302575075e-02
1.375487311557789099e+02,9.847723448642356839e-03
1.460519798994974963e+02,8.638625701825951991e-03
1.545552286432160827e+02,7.299760921671649347e-03
1.630584773869346691e+02,6.665503649715203219e-03
1.715617261306532839e+02,5.537503815548933984e-03
1.800649748743718703e+02,4.765854269469611479e-03
1.885682236180904567e+02,4.041462019129912070e-03
1.970714723618090716e+02,3.285519046440256788e-03
2.055747211055276580e+02,2.824484966110145812e-03
2.140779698492462444e+02,2.446327468372549389e-03
2.225812185929648308e+02,2.007413815368995838e-03
2.310844673366834172e+02,1.681128444832764423e-03
2.395877160804020320e+02,1.414568154303241137e-03
2.480909648241206185e+02,1.176088057141315164e-03
2.565942135678392333e+02,9.937693211982130247e-04
2.650974623115578197e+02,8.642847490862655586e-04
2.736007110552764061e+02,7.371068506054672060e-04
2.821039597989949925e+02,6.341587947222695554e-04
2.906072085427135789e+02,5.434717456964280151e-04
2.991104572864321653e+02,4.695705421181816633e-04
3.076137060301507518e+02,4.040924607526455025e-04
3.161169547738693382e+02,3.522746984318310555e-04
3.246202035175879814e+02,3.063627410006349483e-04
3.331234522613065678e+02,2.678356543931728010e-04
3.416267010050251542e+02,2.318111783709412611e-04
3.501299497487437407e+02,2.066500418805690626e-04
3.586331984924623271e+02,1.783105857343041502e-04
3.671364472361809135e+02,1.590515688636910219e-04
3.756396959798994999e+02,1.393754434825646767e-04
3.841429447236181431e+02,1.245805537999203675e-04
3.926461934673367296e+02,1.102997565834224538e-04
4.011494422110553160e+02,9.930705392845695873e-05
4.096526909547739024e+02,8.762901286686111126e-05
4.181559396984924888e+02,7.826336919935865909e-05
4.266591884422110752e+02,7.018201530271294059e-05
4.351624371859296616e+02,6.324729839614959932e-05
4.436656859296482480e+02,5.746405680094784690e-05
4.521689346733668344e+02,5.191145345605295124e-05
4.606721834170854777e+02,4.746549928860320581e-05
4.691754321608040641e+02,4.345933790775059351e-05
4.776786809045226505e+02,3.996575259057871793e-05
4.861819296482412369e+02,3.690390555180896254e-05
4.946851783919598233e+02,3.429138792898598644e-05
5.031884271356784097e+02,3.195333401271570350e-05
5.116916758793969962e+02,2.991742290856097948e-05
5.201949246231156394e+02,2.806930383860085687e-05
5.286981733668342258e+02,2.653374802860103076e-05
5.372014221105528122e+02,2.521081996298299389e-05
5.457046708542713986e+02,2.399173180816246723e-05
5.542079195979899850e+02,2.308444256046014283e-05
5.627111683417085715e+02,2.220357418472902332e-05
5.712144170854271579e+02,2.155361700846910257e-05
5.797176658291457443e+02,2.093288967459011469e-05
5.882209145728643307e+02,2.047301765488113639e-05
5.967241633165829171e+02,2.011547355147837819e-05
6.052274120603015035e+02,1.984046468042949041e-05
6.137306608040200899e+02,1.964320650269381517e-05
6.222339095477386763e+02,1.952083850033415772e-05
6.307371582914573764e+02,1.947059215687723508e-05
6.392404070351759628e+02,1.945468506947452755e-05
6.477436557788945493e+02,1.951874999814539097e-05
6.562469045226131357e+02,1.960954414719987541e-05
6.647501532663317221e+02,1.974258288887421704e-05
6.732534020100503085e+02,1.991493127429433659e-05
6.817566507537688949e+02,2.010203204164241568e-05
6.902598994974874813e+02,2.033119311836746075e-05
6.987631482412060677e+02,2.057185220517231581e-05
7.072663969849246541e+02,2.082703377733275673e-05
7.157696457286432405e+02,2.110875669458699643e-05
7.242728944723618270e+02,2.139841350128377523e-05
7.327761432160804134e+02,2.170323529314710338e-05
7.412793919597989998e+02,2.201777781680115375e-05
7.497826407035175862e+02,2.234411894347974493e-05
7.582858894472362863e+02,2.268184750951688630e-05
7.667891381909548727e+02,2.303202391538600427e-05
7.752923869346734591e+02,2.339082384604000372e-05
7.837956356783920455e+02,2.376045513525846042e-05
7.922988844221106319e+02,2.414188641734872368e-05
8.008021331658292183e+02,2.453536847670191774e-05
8.093053819095478048e+02,2.493930947154844406e-05
8.178086306532663912e+02,2.535920851855625840e-05
8.263118793969849776e+02,2.578906076520446274e-05
8.348151281407035640e+02,2.623235867623573456e-05
8.433183768844221504e+02,2.669047875966031408e-05
8.518216256281407368e+02,2.716211215886347026e-05
8.603248743718593232e+02,2.765054681739891493e-05
8.688281231155779096e+02,2.815326954435961709e-05
8.773313718592964960e+02,2.867399338786589475e-05
8.858346206030150825e+02,2.921084986705327124e-05
8.943378693467336689e+02,2.976455157894464324e-05
9.028411180904523690e+02,3.033651720209988925e-05
9.113443668341709554e+02,3.092757725058618195e-05
