m4_keV,Ue4sq_95CL
1.000000000000000000e+01,2.622947024480410949e-01
1.078624874371859299e+01,2.464370638940254210e-01
1.157249748743718598e+01,2.321996421272101985e-01
1.235874623115577897e+01,2.098416519082178244e-01
1.314499497487437196e+01,1.977310521475546812e-01
1.393124371859296495e+01,1.827178317930085172e-01
1.471749246231155794e+01,1.672227901451962817e-01
1.550374120603015093e+01,1.524026193859043810e-01
1.628998994974874392e+01,1.447509907763763481e-01
1.707623869346733869e+01,1.328756467057450041e-01
1.786248743718592991e+01,1.227793974974293462e-01
1.864873618090452112e+01,1.116807224709361751e-01
1.943498492462311589e+01,1.055855667295110406e-01
2.022123366834171065e+01,9.919566129599205473e-02
2.100748241206030187e+01,9.145633505564031152e-02
2.179373115577889308e+01,8.531722492492220533e-02
2.257997989949748785e+01,7.993469241501147127e-02
2.336622864321608262e+01,7.456092345977391456e-02
2.415247738693467383e+01,7.007874351520948508e-02
2.493872613065326505e+01,6.516869977524623880e-02
2.572497487437185981e+01,6.139531266181519342e-02
2.651122361809045458e+01,5.791778508964244565e-02
2.729747236180904579e+01,5.405411980783301346e-02
2.808372110552763701e+01,5.099141969979949923e-02
2.886996984924623177e+01,4.813908706753006195e-02
2.965621859296482654e+01,4.524374063090191161e-02
3.044246733668341776e+01,4.258196441461928328e-02
3.122871608040200897e+01,4.053547943070653914e-02
3.201496482412060374e+01,3.825433810548030389e-02
3.280121356783919850e+01,3.586984884762342563e-02
3.358746231155778617e+01,3.388986499499627159e-02
3.437371105527638093e+01,3.187084828851452500e-02
3.515995979899497570e+01,3.012082374868146548e-02
3.594620854271357047e+01,2.848937444746602043e-02
3.673245728643216523e+01,2.680517580980689568e-02
3.751870603015075289e+01,2.525178841219238510e-02
3.830495477386934766e+01,2.402539887843002306e-02
3.909120351758794243e+01,2.257927077181346928e-02
3.987745226130653009e+01,2.131186881287420315e-02
4.066370100502512486e+01,2.020993363445673305e-02
4.144994974874371962e+01,1.905447488368335052e-02
4.223619849246231439e+01,1.791024754188764306e-02
4.302244723618090916e+01,1.689338366225528326e-02
4.380869597989949682e+01,1.592981879127071745e-02
4.459494472361809159e+01,1.511152446035451957e-02
4.538119346733668635e+01,1.421112918781097627e-02
