m4_keV,Ue4sq_95CL
1.000000000000000000e+01,4.826696316003030174e-01
1.152524874371859376e+01,4.162335566447136759e-01
1.305049748743718574e+01,3.401712599916933977e-01
1.457574623115577950e+01,2.885136404258578646e-01
1.610099497487437148e+01,2.853376713352630545e-01
1.762624371859296701e+01,2.506993517409621397e-01
1.915149246231155900e+01,2.268454302402633793e-01
2.067674120603015098e+01,1.868313876184124200e-01
2.220198994974874296e+01,1.590669764930020824e-01
2.372723869346733849e+01,1.408344569095536236e-01
2.525248743718593047e+01,1.311616704082143592e-01
2.677773618090452246e+01,1.145264201104871232e-01
2.830298492462311799e+01,1.028915338448952305e-01
2.982823366834170997e+01,9.813350724699562710e-02
3.135348241206030195e+01,8.602632033290101565e-02
3.287873115577889394e+01,7.660003382973940012e-02
3.440397989949748592e+01,7.402913516493318802e-02
3.592922864321607790e+01,6.629992032505276078e-02
3.745447738693467699e+01,6.356629769432842192e-02
3.897972613065326897e+01,5.712688967034606352e-02
4.050497487437186095e+01,5.181657788594181552e-02
4.203022361809045293e+01,4.795496794501236115e-02
4.355547236180904491e+01,4.559613665647768710e-02
4.508072110552764400e+01,4.246543206902567841e-02
4.660596984924623598e+01,3.941916739184102986e-02
4.813121859296482796e+01,3.741399107033376026e-02
4.965646733668341994e+01,3.529376222451638401e-02
5.118171608040201193e+01,3.332131934149198255e-02
5.270696482412060391e+01,3.117251213749228089e-02
5.423221356783920299e+01,2.974498324958141024e-02
5.575746231155779498e+01,2.792778440797227119e-02
5.728271105527638696e+01,2.622202883991594374e-02
5.880795979899497894e+01,2.520476953993298908e-02
6.033320854271357092e+01,2.376091243050950513e-02
6.185845728643216290e+01,2.249400211939426089e-02
6.338370603015075488e+01,2.140455649635795293e-02
6.490895477386935397e+01,2.053999870772495531e-02
6.643420351758794595e+01,1.951209673073405967e-02
6.795945226130653793e+01,1.856316250310348359e-02
6.948470100502512992e+01,1.763454857260990036e-02
7.100994974874372190e+01,1.695145525249934851e-02
7.253519849246231388e+01,1.618282071168658520e-02
7.406044723618090586e+01,1.557905775361472303e-02
7.558569597989949784e+01,1.491209363669584488e-02
7.711094472361808982e+01,1.439827368939543967e-02
7.863619346733669602e+01,1.367405733410007561e-02
8.016144221105528800e+01,1.325041289903960973e-02
8.168669095477387998e+01,1.268189169347009107e-02
8.321193969849247196e+01,1.213530037120834522e-02
8.473718844221106394e+01,1.169311948035778141e-02
8.626243718592965593e+01,1.124665453290890453e-02
8.778768592964824791e+01,1.079605219429482892e-02
8.931293467336683989e+01,1.039701062963353621e-02
9.083818341708543187e+01,1.005009268424176053e-02
9.236343216080402385e+01,9.629089795459119111e-03
9.388868090452261583e+01,9.279180033469395378e-03
9.541392964824120781e+01,8.972829816829583013e-03
9.693917839195979980e+01,8.600020982019333793e-03
9.846442713567840599e+01,8.356357311470679131e-03
9.998967587939699797e+01,7.999877227144205211e-03
1.015149246231155900e+02,7.745140366479583843e-03
1.030401733668341819e+02,7.486758221354087445e-03
1.045654221105527739e+02,7.193016837558539010e-03
1.060906708542713659e+02,6.959278759548774736e-03
1.076159195979899579e+02,6.710104897110599938e-03
1.091411683417085499e+02,6.488516463832595324e-03
1.106664170854271418e+02,6.252530162164717485e-03
1.121916658291457338e+02,6.010422352264503665e-03
1.137169145728643258e+02,5.792785297414474073e-03
1.152421633165829178e+02,5.577639008751980598e-03
1.167674120603015098e+02,5.380259166725830274e-03
1.182926608040201160e+02,5.202542985382987983e-03
1.198179095477387079e+02,5.026521349913905951e-03
1.213431582914572999e+02,4.819379471069803328e-03
1.228684070351758919e+02,4.643765326448247993e-03
1.243936557788944839e+02,4.481727014507459923e-03
1.259189045226130759e+02,4.301606033542753130e-03
1.274441532663316679e+02,4.158263952502894850e-03
1.289694020100502598e+02,3.998446877889874629e-03
1.304946507537688376e+02,3.816498663816904422e-03
1.320198994974874438e+02,3.682381311840557479e-03
1.335451482412060500e+02,3.555319350707334194e-03
1.350703969849246278e+02,3.383924310796767622e-03
1.365956457286432055e+02,3.266893450402701994e-03
1.381208944723618117e+02,3.127616567788499106e-03
1.396461432160804179e+02,2.991232410785502321e-03
1.411713919597989957e+02,2.871750670378557958e-03
1.426966407035176019e+02,2.752081567450885297e-03
1.442218894472361796e+02,2.639702526999390588e-03
1.457471381909547858e+02,2.511529239792562734e-03
1.472723869346733920e+02,2.395316994603062868e-03
1.487976356783919698e+02,2.306075720863693702e-03
1.503228844221105760e+02,2.189707563268022440e-03
1.518481331658291538e+02,2.093158646403360437e-03
1.533733819095477600e+02,1.995641740364817018e-03
1.548986306532663377e+02,1.901423878574122700e-03
1.564238793969849439e+02,1.801317451371377970e-03
1.579491281407035217e+02,1.718737651576647150e-03
1.594743768844221279e+02,1.628682842428048764e-03
1.609996256281407057e+02,1.542704461150913456e-03
1.625248743718593119e+02,1.467307671885455418e-03
1.640501231155778896e+02,1.381922076497513023e-03
1.655753718592964958e+02,1.311357031412896130e-03
1.671006206030151020e+02,1.237879731317064521e-03
1.686258693467336798e+02,1.164757980960360673e-03
1.701511180904522860e+02,1.107937119726115551e-03
1.716763668341708637e+02,1.047850515176430288e-03
1.732016155778894699e+02,9.840178889853965893e-04
1.747268643216080477e+02,9.274140708206715872e-04
1.762521130653266539e+02,8.770841248698436118e-04
1.777773618090452317e+02,8.211434889638421619e-04
1.793026105527638379e+02,7.762284339769422821e-04
1.808278592964824156e+02,7.252050556796422456e-04
1.823531080402010218e+02,6.801343140563939453e-04
1.838783567839195996e+02,6.396640924037061806e-04
1.854036055276382058e+02,5.963815260231209977e-04
1.869288542713568120e+02,5.637102952472218889e-04
1.884541030150753897e+02,5.298698623742152019e-04
1.899793517587939959e+02,4.949975773898158135e-04
1.915046005025125737e+02,4.614715535867887418e-04
1.930298492462311799e+02,4.325574502102995681e-04
