m4_keV,Ue4sq_95CL
1.000000000000000000e+01,1.029332504899746592e+00
1.295974874371859364e+01,1.029964609214067739e+00
1.591949748743718729e+01,1.027193382285387369e+00
1.887924623115577916e+01,1.026479519299463794e+00
2.183899497487437458e+01,1.030137715896745965e+00
2.479874371859296645e+01,1.021127120038437530e+00
2.775849246231155831e+01,1.022067829090131497e+00
3.071824120603015373e+01,9.787806223141195527e-01
3.367798994974874915e+01,8.243477972598310943e-01
3.663773869346734102e+01,6.755034885551032264e-01
3.959748743718593289e+01,6.218836319933149781e-01
4.255723618090452476e+01,5.375159791459926950e-01
4.551698492462311663e+01,4.785937548415544751e-01
4.847673366834170849e+01,4.237279547589116180e-01
5.143648241206030747e+01,3.663779457741336287e-01
5.439623115577889934e+01,3.317150882485015440e-01
5.735597989949749120e+01,3.007170691989863864e-01
6.031572864321608307e+01,2.674108650299151235e-01
6.327547738693467494e+01,2.397914070386119867e-01
6.623522613065327391e+01,2.204532474575487400e-01
6.919497487437186578e+01,2.044137696063320908e-01
7.215472361809045765e+01,1.828293178386801165e-01
7.511447236180904952e+01,1.735615204913827370e-01
7.807422110552764138e+01,1.593917362898950862e-01
8.103396984924623325e+01,1.484949039679856753e-01
8.399371859296482512e+01,1.362187819465145167e-01
8.695346733668341699e+01,1.273870484934346570e-01
8.991321608040202307e+01,1.190639709464534901e-01
9.287296482412061494e+01,1.119397319025270260e-01
9.583271356783920680e+01,1.036155504474697703e-01
9.879246231155779867e+01,9.806246559341014191e-02
1.017522110552763905e+02,9.247385989572320941e-02
1.047119597989949824e+02,8.674803738665498587e-02
1.076717085427135743e+02,8.150613171938524137e-02
1.106314572864321661e+02,7.695172189133167584e-02
1.135912060301507580e+02,7.274438172830893778e-02
1.165509547738693499e+02,6.879948199420514443e-02
1.195107035175879417e+02,6.551644845715963450e-02
1.224704522613065478e+02,6.197761434947469256e-02
1.254302010050251397e+02,5.841907676543854622e-02
1.283899497487437316e+02,5.585756464122978993e-02
1.313496984924623234e+02,5.290789352499394166e-02
1.343094472361809153e+02,5.002477303538800657e-02
1.372691959798995072e+02,4.789616479126421189e-02
1.402289447236180990e+02,4.554566057868725953e-02
1.431886934673366909e+02,4.308569676630163992e-02
1.461484422110552828e+02,4.110978293385429694e-02
1.491081909547738746e+02,3.900908880976775711e-02
1.520679396984924665e+02,3.716413756726637957e-02
1.550276884422110584e+02,3.526111134723070722e-02
1.579874371859296502e+02,3.373282829775919867e-02
1.609471859296482421e+02,3.222499700898841940e-02
1.639069346733668340e+02,3.056243550282825364e-02
1.668666834170854258e+02,2.896004906148868380e-02
1.698264321608040461e+02,2.761551871950622752e-02
1.727861809045226380e+02,2.639878714446591140e-02
1.757459296482412299e+02,2.497819860795452360e-02
1.787056783919598217e+02,2.384990227984775876e-02
1.816654271356784136e+02,2.249882246492786175e-02
1.846251758793970055e+02,2.140861164358939112e-02
1.875849246231155973e+02,2.036955118447988239e-02
1.905446733668341892e+02,1.926988128649802234e-02
1.935044221105527811e+02,1.831694312474791558e-02
1.964641708542713729e+02,1.733429682533917104e-02
1.994239195979899648e+02,1.642594947763179394e-02
2.023836683417085567e+02,1.555045031399273324e-02
2.053434170854271485e+02,1.472105751937773273e-02
2.083031658291457404e+02,1.391639869212413054e-02
2.112629145728643323e+02,1.317231114165103370e-02
2.142226633165829242e+02,1.247999813006494402e-02
2.171824120603015160e+02,1.176203796347851868e-02
2.201421608040201079e+02,1.112067293646326616e-02
2.231019095477386998e+02,1.040376599028156220e-02
2.260616582914572916e+02,9.859682793208321763e-03
2.290214070351758835e+02,9.256005387526231032e-03
2.319811557788945038e+02,8.714190772792600875e-03
2.349409045226130957e+02,8.208014822936492844e-03
2.379006532663316875e+02,7.715503515191759337e-03
