m4_keV,Ue4sq_95CL
1.000000000000000000e+01,2.386697380037781230e-02
2.134324874371858982e+01,2.218600436324131078e-02
3.268649748743717964e+01,1.961916575352000772e-02
4.402974623115577657e+01,2.230236487873388934e-02
5.537299497487436639e+01,1.922286446012534677e-02
6.671624371859294911e+01,1.977759182965103252e-02
7.805949246231155314e+01,1.831068443351541175e-02
8.940274120603014296e+01,1.636681057847939880e-02
1.007459899497487328e+02,1.503345526905629226e-02
1.120892386934673226e+02,1.330683043311796550e-02
1.234324874371859124e+02,1.141188578782243758e-02
1.347757361809045165e+02,9.625382225626845367e-03
1.461189849246231063e+02,8.794341762247378722e-03
1.574622336683416961e+02,7.297637086333896676e-03
1.688054824120602859e+02,6.647852145826186297e-03
1.801487311557788757e+02,5.301234328950735729e-03
1.914919798994974656e+02,4.491013788080045963e-03
2.028352286432160554e+02,3.958671461955634747e-03
2.141784773869346452e+02,3.210136873025255973e-03
2.255217261306532350e+02,2.778670828228433330e-03
2.368649748743718249e+02,2.275112508195949006e-03
2.482082236180904147e+02,1.878181193864287722e-03
2.595514723618090329e+02,1.570908858669644919e-03
2.708947211055275943e+02,1.291290628744832733e-03
2.822379698492462126e+02,1.059079136637483326e-03
2.935812185929647740e+02,8.841050618673638182e-04
3.049244673366833922e+02,7.193253061673182116e-04
3.162677160804019536e+02,6.075300806561714177e-04
3.276109648241205718e+02,4.962519477433153213e-04
3.389542135678391332e+02,4.138111756211317179e-04
3.502974623115577515e+02,3.526432728277136323e-04
3.616407110552763129e+02,2.941943900721806743e-04
3.729839597989949311e+02,2.459090249902532409e-04
3.843272085427135494e+02,2.085809068153865735e-04
3.956704572864321108e+02,1.771685199957900880e-04
4.070137060301507290e+02,1.520334608086759524e-04
4.183569547738692904e+02,1.318858927368572731e-04
4.297002035175879087e+02,1.120358833935857065e-04
4.410434522613064701e+02,9.548350121750680979e-05
4.523867010050250883e+02,8.360822475361810420e-05
4.637299497487436497e+02,7.113993891824790328e-05
4.750731984924622680e+02,6.222948068710427332e-05
